"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";123;123;123;123;123
2002;"Aquatique";102;102;102;102;102
2003;"Aquatique";47,96875;63,4375;80,625;97,8125;113,28125
2005;"Aquatique";80,3125;83,125;86,25;89,375;92,1875
2006;"Aquatique";79,68125;88,0625;97,375;106,6875;115,06875
2007;"Aquatique";66,60625;69,8125;90,5;112,75;120,175
2008;"Aquatique";63,375;66,75;77,5;88,375;92,0875
2009;"Aquatique";49,925;58,25;67,5;79,25;89,825
2010;"Aquatique";70,675;76,75;85;98,5;118,75
2011;"Aquatique";85,6;91;96,5;100,75;102,775
2012;"Aquatique";45,825;53,25;64,25;85,078125;119,0390625
2013;"Aquatique";38,8227272727273;64,2272727272727;78,0681818181818;86,875;98,6875
2014;"Aquatique";49,375;55;89,0909090909091;91;146,8
2015;"Aquatique";42,08125;55,8181818181818;68,4166666666667;87,0681818181818;120,9
2016;"Aquatique";46,8333333333333;51,8333333333333;73,2795698924731;95,0564516129032;117,375
2017;"Aquatique";59,2;74;80,9090909090909;87,2727272727273;123,169230769231
2018;"Aquatique";41,7272727272727;45,8333333333333;60;71;100,2
2019;"Aquatique";47,5;54,25;74,5;98;114
2020;"Aquatique";53,6005747126437;56,0057471264368;65,7210031347962;74,9090909090909;75,8909090909091
2021;"Aquatique";51,1796875;54,296875;57,7604166666667;61,2239583333333;64,3411458333333
2022;"Aquatique";54,375;54,375;54,375;54,375;54,375
1997;"STOC-rozo";73,45;77,5;82;82;82
1998;"STOC-rozo";68,45;72,5;77;92,5;106,45
1999;"STOC-rozo";77,45;81,5;86;92;97,4
2000;"STOC-rozo";45,65;69,5;96;117,5;136,85
2001;"STOC-rozo";28;37;41;42;61,6
2002;"STOC-rozo";19,6;35;52;85,4545454545455;94,7
2003;"STOC-rozo";27,925;47,5;58,5;71,75;88,075
2004;"STOC-rozo";29,6;42;51;87;131,2
2005;"STOC-rozo";24,35;34,25;49,5454545454545;60;84,15
2006;"STOC-rozo";24,25;35;49;59,75;77,6818181818182
2007;"STOC-rozo";26,8;50;69;81;136,8
2008;"STOC-rozo";18,25;47,25;57;72;112,325
2009;"STOC-rozo";26,9;35;49;80;106,2
2010;"STOC-rozo";24,7;66;86;106;115,9
2011;"STOC-rozo";34;51,5;79;97,5;114,25
2012;"STOC-rozo";26,725;52;56,5;69;108,7
2013;"STOC-rozo";21,3;41;49;81;103,7
2014;"STOC-rozo";28,4;41;59;72;124,2
2015;"STOC-rozo";25;38,6111111111111;59;78;98,8
2016;"STOC-rozo";31,8;47,9166666666667;67,5;78;92,55
2017;"STOC-rozo";29,925;39,75;68;91;98,175
2018;"STOC-rozo";27,975;44,75;52,5;64,3055555555556;96,95
2019;"STOC-rozo";28,4;37,7777777777778;44;52;131,4
2020;"STOC-rozo";37,825;46,75;52,5;71,5;103,775
2021;"STOC-rozo";32,675;40,25;57,5;66,25;81,525
2022;"STOC-rozo";25,925;41,75;51,9444444444444;71;86,975
1989;"Terrestre";13,5754545454545;24,4818181818182;36,6;63,1;86,95
1990;"Terrestre";18,5;30,7575757575758;43,8;77,11875;237,871148459384
1991;"Terrestre";14,4127272727273;22,0588235294118;32,7272727272727;60,5882352941177;147,75
1992;"Terrestre";18,6452777777778;25,3888888888889;36;56,3125;150,771428571429
1993;"Terrestre";21,6805555555556;32,8298611111111;40,0915032679739;62,3366477272727;182,496428571429
1994;"Terrestre";25,8289473684211;30,2941176470588;35,1212765957447;56,9888392857143;145,63474025974
1995;"Terrestre";19,0777777777778;26,6911764705882;33,8636363636364;46,6383928571429;175,223214285714
1996;"Terrestre";20,7440476190476;27,0422535211268;41,578947368421;52,3677884615385;150,016233766234
1997;"Terrestre";17,3670634920635;30,8266129032258;38,8475499092559;60,284375;162,503571428571
1998;"Terrestre";21,1041666666667;30,8235294117647;34,9036323202372;70,1800699300699;190,125
1999;"Terrestre";14,0333333333333;22,7261904761905;40,4861751152074;62,265625;96,475
2000;"Terrestre";24,8350840336134;31,3629032258064;44,2741935483871;56,5625;87,5945454545454
2001;"Terrestre";9,25;24,537037037037;50,6666666666667;63,0801201802704;99,6964285714285
2002;"Terrestre";20,6527777777778;37,5555555555556;50,1408450704225;61,6041666666667;136,675
2003;"Terrestre";14,6333333333333;34,2166666666667;48,9761904761905;78,3269230769231;121,703246753247
2004;"Terrestre";16,6805555555556;40,9596774193548;53,6022727272727;77,3178137651822;127,64025974026
2005;"Terrestre";17,4;34,6785714285714;48,5714285714286;71,96699669967;114,135294117647
2006;"Terrestre";5,78181818181818;29;45;67,4285714285714;94,2
2007;"Terrestre";6,67954545454545;30,3125;56,9166666666667;71,9961734693878;97,075
2008;"Terrestre";5,68181818181818;33,3870967741936;51;61,875;101,069230769231
2009;"Terrestre";13,65;34,6666666666667;44,1666666666667;58,75;100,669230769231
2010;"Terrestre";7,95652173913043;40,9673913043478;52,8120516499283;67,3571428571429;105,025
2011;"Terrestre";23,7546052631579;43,4090909090909;55;69,75;131,497727272727
2012;"Terrestre";8,7116847826087;38,578431372549;52,5;62,1111111111111;120,95
2013;"Terrestre";10,9090909090909;29,0909090909091;41;54,6153846153846;100
2014;"Terrestre";19;33,3333333333333;47,2222222222222;58,452380952381;97,6249999999999
2015;"Terrestre";20,4333333333333;36,6758241758242;49,0909090909091;68,125;119,6715860961
2016;"Terrestre";13;35,4549191559331;51,875;63,6;112,458333333333
2017;"Terrestre";15,96;31,25;45;60;96,45
2018;"Terrestre";19,0795194508009;37,2857142857143;46,1818181818182;59,375;92,545
2019;"Terrestre";21,7101449275362;37,1428571428571;50,6666666666667;67,5;117,7
2020;"Terrestre";19,6;32,5;46;66,25;110,4
2021;"Terrestre";18;35,125;50,4017857142857;66,8171641791045;113,202380952381
2022;"Terrestre";16,6666666666667;30,9545454545455;45,8333333333333;57,2077922077922;89,8484848484848
1989;"tout";13,5754545454545;24,4818181818182;36,6;63,1;86,95
1990;"tout";18,5;30,7575757575758;43,8;77,11875;237,871148459384
1991;"tout";14,4127272727273;22,0588235294118;32,7272727272727;60,5882352941177;147,75
1992;"tout";18,6452777777778;25,3888888888889;36;56,3125;150,771428571429
1993;"tout";21,6805555555556;32,8298611111111;40,0915032679739;62,3366477272727;182,496428571429
1994;"tout";25,8289473684211;30,2941176470588;35,1212765957447;56,9888392857143;145,63474025974
1995;"tout";19,0777777777778;26,6911764705882;33,8636363636364;46,6383928571429;175,223214285714
1996;"tout";20,7440476190476;27,0422535211268;41,578947368421;52,3677884615385;150,016233766234
1997;"tout";17,8611111111111;33,0804179918219;53,5294117647059;78,6;154,42012987013
1998;"tout";21,1780303030303;32,0920303605313;48,125;75,5909090909091;187,3
1999;"tout";14,8095238095238;30,0179211469534;54,6875;85,5;98,6818181818182
2000;"tout";24,9327731092437;34;45;72,5;121,8
2001;"tout";9,66666666666667;32;41;62;121,171428571429
2002;"tout";19,7007575757576;36,8055555555556;51,5375;70,9148723084627;124,65
2003;"tout";17,0210784313726;35,5857142857143;50,2;80,7852564102564;120,577380952381
2004;"tout";17,1464646464646;41,6129032258064;53,4545454545455;77,6923076923077;132,227272727273
2005;"tout";18,7333333333333;35,3571428571429;50;73,2673267326733;113,164705882353
2006;"tout";7,525;30,1785714285714;47,2619047619048;67,8571428571429;103,191666666667
2007;"tout";8,43888888888889;31,9047619047619;59,2;73,7857142857143;117,15
2008;"tout";7,38636363636363;34,9301675977654;52,8;67,9285714285714;105,788461538462
2009;"tout";13,8055555555556;34,8648648648649;45,2941176470588;61,5384615384615;101
2010;"tout";11,2;41,8181818181818;57,0629370629371;74;115,2
2011;"tout";24,8105263157895;43,6734693877551;57,2727272727273;74,4444444444444;126,690909090909
