"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1990;"Atlantique";26,3;29;34,3055555555556;53,6151960784314;94,1262254901961
1991;"Atlantique";17,0255555555556;28,0555555555556;32,7272727272727;42,3529411764706;58,7647058823529
1992;"Atlantique";18,27;20,2;34,8571428571429;37,1428571428571;48,8840970350404
1993;"Atlantique";20,8958333333333;28,9583333333333;38,4166666666667;45,7380952380952;48,0309523809524
1994;"Atlantique";30,2021276595745;32,0212765957447;34,0425531914894;39,5927051671732;44,5878419452888
1995;"Atlantique";18,8325;22,725;29,0151515151515;35,8262987012987;41,125487012987
1996;"Atlantique";21,3625;26,125;31,4166666666667;36,7083333333333;41,4708333333333
1997;"Atlantique";16,5049019607843;25,0490196078431;34,5424836601307;44,0359477124183;52,5800653594771
1998;"Atlantique";21,1066176470588;23,5661764705882;26,2990196078431;29,031862745098;31,4914215686275
1999;"Atlantique";12,75;17,5;22,7777777777778;33,2460317460317;42,6674603174603
2000;"Atlantique";27,7666666666667;34,4324324324324;45;51,3214285714286;75,945
2001;"Atlantique";20;29,6011396011396;35,4285714285714;54,375;71,0576923076923
2002;"Atlantique";20,1401515151515;33,9459459459459;50,6;64,1666666666667;93,3055555555556
2003;"Atlantique";18,9166666666667;35,7142857142857;50,8;86;111,25
2004;"Atlantique";14,45;46,1363636363636;57,5;77,7692307692308;115,866071428571
2005;"Atlantique";18,7583333333333;37,3392857142857;56,7738095238095;75,4807692307692;112,873529411765
2006;"Atlantique";3,86363636363636;24,5535714285714;48,5119047619048;68,2857142857143;85,6041666666667
2007;"Atlantique";21,2334823646299;30,6666666666667;64,2857142857143;77,5714285714286;96,91
2008;"Atlantique";9,19029850746269;38,4166666666667;56,1153846153846;75,6363636363636;106,636538461538
2009;"Atlantique";18,4333333333333;34,8648648648649;46,1538461538461;66,5384615384615;96,6230769230769
2010;"Atlantique";30,1458333333333;41,7045454545455;55,0675675675676;67,7857142857143;104,608333333333
2011;"Atlantique";26,6017857142857;45,2040816326531;61,8333333333333;74,1666666666667;130,856818181818
2012;"Atlantique";28,4666666666667;48,75;55,4545454545455;65,9166666666667;119,230769230769
2013;"Atlantique";13,3909090909091;32,3369565217391;48,3333333333333;58,4039735099338;84,6153846153846
2014;"Atlantique";22,2335526315789;37,25;51;67,0833333333333;97,8541666666666
2015;"Atlantique";22,6785714285714;37,4166666666667;54,2857142857143;68,3333333333333;114,645713451146
2016;"Atlantique";13,5644736842105;45,6730769230769;54,6875;70,8901515151515;112,520833333333
2017;"Atlantique";18,8078947368421;40,1785714285714;50,4545454545455;68,6057692307692;96,7125
2018;"Atlantique";18,9279176201373;38,9285714285714;48;65,5;82,8
2019;"Atlantique";23,3;39;51;65,8333333333333;95,8
2020;"Atlantique";19,575;38,9558823529412;48,0909090909091;70,875;104,772727272727
2021;"Atlantique";17,375;41,7341137123746;53,5087719298246;67,2954545454545;105,466666666667
2022;"Atlantique";15,975;35;46;58,2575757575758;92,1515151515151
