"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1991;"Terrestre";0,681818181818182;0,681818181818182;0,681818181818182;0,681818181818182;0,681818181818182;"ACCNIS"
2002;"Terrestre";2,15177945489663;2,23208026325202;2,3213033836469;2,41052650404178;2,49082731239717;"ACCNIS"
2003;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACCNIS"
2004;"Terrestre";1,265625;1,40625;1,5625;1,71875;1,859375;"ACCNIS"
2005;"Terrestre";2;2;2;2;2;"ACCNIS"
2006;"Terrestre";1,29753521126761;1,5669014084507;1,9047619047619;2,35714285714286;2,93571428571429;"ACCNIS"
2007;"Terrestre";1;1;1,03571428571429;1,32988721804511;2,02772556390977;"ACCNIS"
2008;"Terrestre";0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;"ACCNIS"
2009;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACCNIS"
2010;"Terrestre";2,30769230769231;2,30769230769231;2,30769230769231;2,30769230769231;2,30769230769231;"ACCNIS"
2011;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"ACCNIS"
2012;"Terrestre";2,15222277722278;2,23651348651349;2,33016983016983;2,42382617382617;2,50811688311688;"ACCNIS"
2013;"Terrestre";1,5375;1,875;2,25;2,625;2,9625;"ACCNIS"
2014;"Terrestre";1,23142377756472;1,44175455417066;1,67545541706616;1,90915627996165;2,11948705656759;"ACCNIS"
2015;"Terrestre";2,5125;2,625;2,75;2,875;2,9875;"ACCNIS"
2016;"Terrestre";1,34831460674157;1,34831460674157;1,34831460674157;1,34831460674157;1,34831460674157;"ACCNIS"
2017;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACCNIS"
2018;"Terrestre";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"ACCNIS"
2019;"Terrestre";3;3;3;3;3;"ACCNIS"
2020;"Terrestre";1,88125;1,9375;2;2,36363636363636;2,69090909090909;"ACCNIS"
2021;"Terrestre";2,14285714285714;2,14285714285714;2,32142857142857;2,625;2,9625;"ACCNIS"
2022;"Terrestre";2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;"ACCNIS"
1992;"Terrestre";0,89025974025974;1,18831168831169;1,51948051948052;1,85064935064935;2,1487012987013;"ACRARU"
1993;"Terrestre";1,58571428571429;1,64661654135338;1,71428571428571;1,94805194805195;2,15844155844156;"ACRARU"
1994;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRARU"
1995;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ACRARU"
1996;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRARU"
1997;"Terrestre";1,09043887147335;1,59404388714734;2,15360501567398;2,71316614420063;3,21677115987461;"ACRARU"
1999;"Terrestre";0,917532467532467;1,46103896103896;2,06493506493506;2,66883116883117;3,21233766233766;"ACRARU"
2000;"Terrestre";0,998093841642229;1,27126099706745;1,57478005865103;1,8782991202346;2,15146627565982;"ACRARU"
2002;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRARU"
2003;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRARU"
2004;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRARU"
2006;"Terrestre";1,39375;1,9375;2,54166666666667;3,14583333333333;3,68958333333333;"ACRARU"
2007;"Terrestre";2,3375;2,375;2,41666666666667;2,45833333333333;2,49583333333333;"ACRARU"
2008;"Terrestre";3,146875;3,34375;3,5625;3,78125;3,978125;"ACRARU"
2009;"Terrestre";1;1;1;1;1;"ACRARU"
2010;"Terrestre";3,6;3,6;3,6;3,6;3,6;"ACRARU"
2011;"Terrestre";5,31085353003162;5,31085353003162;5,31085353003162;5,31085353003162;5,31085353003162;"ACRARU"
2012;"Terrestre";4,8;4,8;4,8;4,8;4,8;"ACRARU"
2013;"Terrestre";5;5;5;5;5;"ACRARU"
2015;"Terrestre";6;6;6;6;6;"ACRARU"
2019;"Terrestre";3;3;3;3;3;"ACRARU"
2020;"Terrestre";1,875;1,875;1,875;1,875;1,875;"ACRARU"
2021;"Terrestre";1,875;1,875;1,875;1,875;1,875;"ACRARU"
1989;"Terrestre";14;14;14;14;14;"ACRRIS"
1990;"Terrestre";0,949448529411765;1,05698529411765;1,17647058823529;4,18823529411765;6,89882352941177;"ACRRIS"
1991;"Terrestre";1,28125;1,5625;1,875;3,7375;5,41375;"ACRRIS"
1992;"Terrestre";1,0190625;1,753125;2,56875;3,384375;4,1184375;"ACRRIS"
1993;"Terrestre";2,72727272727273;7,63636363636364;13,0909090909091;18,5454545454545;23,4545454545455;"ACRRIS"
1995;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACRRIS"
1996;"Terrestre";2,28111888111888;3,17482517482518;4,16783216783217;5,16083916083916;6,05454545454546;"ACRRIS"
1997;"Terrestre";3,82545454545455;5,52727272727273;7,41818181818182;9,30909090909091;11,0109090909091;"ACRRIS"
1998;"Terrestre";2,95174825174825;3,33566433566434;3,76223776223776;4,18881118881119;4,57272727272727;"ACRRIS"
1999;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRRIS"
2000;"Terrestre";2,2041958041958;2,40559440559441;2,62937062937063;2,85314685314685;3,05454545454545;"ACRRIS"
2001;"Terrestre";2,36538461538462;2,88461538461538;3,46153846153846;5;6,38461538461539;"ACRRIS"
2002;"Terrestre";2,33119658119658;2,54273504273504;2,77777777777778;3,05555555555556;3,30555555555556;"ACRRIS"
2003;"Terrestre";1,67147435897436;1,71474358974359;2,11538461538462;2,69318181818182;3,21477272727273;"ACRRIS"
2004;"Terrestre";2,68636363636364;4,36363636363636;10;26,1538461538462;29,6153846153846;"ACRRIS"
2005;"Terrestre";1,875;3,2172131147541;6;16,875;32,7;"ACRRIS"
2006;"Terrestre";1,6;2,5;12,5;32,5;33,85;"ACRRIS"
2007;"Terrestre";1,3375;3,1875;6,51785714285714;11,875;36,6375;"ACRRIS"
2008;"Terrestre";1,25847457627119;2,5;3;10,5714285714286;20,625;"ACRRIS"
2009;"Terrestre";1,54242424242424;2,86363636363636;3,2;11,7307692307692;16,7;"ACRRIS"
2010;"Terrestre";1,97235576923077;2,625;4,5;7,19021739130435;20,7212837837838;"ACRRIS"
2011;"Terrestre";1,38541666666667;2,0529090199141;3,21428571428571;12,5;22,96875;"ACRRIS"
2012;"Terrestre";2,5;3;6;10;18,5;"ACRRIS"
2013;"Terrestre";2,39160839160839;3;6,25;11,8181818181818;27,5;"ACRRIS"
2014;"Terrestre";1,9030701754386;2,953125;4,06818181818182;5,88541666666667;17,6333333333333;"ACRRIS"
2015;"Terrestre";1,19270833333333;3;7;13;21,0833333333333;"ACRRIS"
2016;"Terrestre";1,77777777777778;3;6,5625;12,5;20,0333333333333;"ACRRIS"
2017;"Terrestre";1,80288461538462;2,875;4,75;7,734375;18,75;"ACRRIS"
2018;"Terrestre";2,125;2,5;3;4;13,5;"ACRRIS"
2019;"Terrestre";2,6125;3,375;6,83333333333333;8,9375;13,0381578947368;"ACRRIS"
2020;"Terrestre";3,625;8,75;11,5;13,2272727272727;15,7045454545455;"ACRRIS"
2021;"Terrestre";1,2890625;2,625;3;11,1875;14,55;"ACRRIS"
2022;"Terrestre";3,2;5;7;7,59090909090909;8,12272727272727;"ACRRIS"
1990;"Terrestre";0,294117647058824;0,294117647058824;0,294117647058824;0,294117647058824;0,294117647058824;"ACRSCH"
1991;"Terrestre";2,64705882352941;2,64705882352941;2,64705882352941;2,64705882352941;2,64705882352941;"ACRSCH"
1992;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRSCH"
1996;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ACRSCH"
1997;"Terrestre";5,09090909090909;5,09090909090909;5,09090909090909;5,09090909090909;5,09090909090909;"ACRSCH"
1998;"Terrestre";8,72727272727273;8,72727272727273;8,72727272727273;8,72727272727273;8,72727272727273;"ACRSCH"
1999;"Terrestre";12;12;12;12;12;"ACRSCH"
2000;"Terrestre";1,67515592515593;2,15696465696466;2,69230769230769;4,25524475524475;5,66188811188811;"ACRSCH"
2001;"Terrestre";1,77239010989011;2,29532967032967;2,87637362637363;3,45741758241758;3,98035714285714;"ACRSCH"
2002;"Terrestre";1,30355355355355;2,08958958958959;2,96296296296296;6,20875420875421;9,12996632996633;"ACRSCH"
2003;"Terrestre";19,6363636363636;19,6363636363636;19,6363636363636;19,6363636363636;19,6363636363636;"ACRSCH"
2004;"Terrestre";1,64160839160839;6,03146853146853;10,9090909090909;12,5378787878788;14,0037878787879;"ACRSCH"
2005;"Terrestre";2,17857142857143;2,5;3,21428571428571;4;18,4;"ACRSCH"
2006;"Terrestre";2,2625;4,625;7,25;9,875;12,2375;"ACRSCH"
2007;"Terrestre";1,05714285714286;1,57142857142857;2,14285714285714;5,23809523809524;8,02380952380952;"ACRSCH"
2008;"Terrestre";2,16614906832298;2,37577639751553;2,60869565217391;2,66798418972332;2,72134387351779;"ACRSCH"
2009;"Terrestre";1,075;1,90384615384615;2,5;2,61363636363636;7,47062937062937;"ACRSCH"
2010;"Terrestre";1,15;2,07142857142857;2,5;4,5;6,44347826086957;"ACRSCH"
2011;"Terrestre";5,1875;6,875;10,25;15,8863636363636;23,6795454545455;"ACRSCH"
2012;"Terrestre";1,35576923076923;2,75;5,45454545454546;6,66666666666667;9,23863636363636;"ACRSCH"
2013;"Terrestre";2,00284090909091;2,86363636363636;3,33333333333333;9,75;18,0272727272727;"ACRSCH"
2014;"Terrestre";2,575;3;3,125;11;21,1704545454545;"ACRSCH"
2015;"Terrestre";3,14931026932341;4,49310269323406;9;10,5;11,175;"ACRSCH"
2016;"Terrestre";1,96022727272727;2,72727272727273;5;10,5;12,3;"ACRSCH"
2017;"Terrestre";2,65760869565217;3,5;5,5;12,75;23,203125;"ACRSCH"
2018;"Terrestre";3;3;5;7,5;15,6;"ACRSCH"
