"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1990;"Atlantique";1,17647058823529;1,17647058823529;1,17647058823529;1,17647058823529;1,17647058823529;"ACRRIS"
2000;"Atlantique";3,07692307692308;3,07692307692308;3,07692307692308;3,07692307692308;3,07692307692308;"ACRRIS"
2001;"Atlantique";2,33653846153846;2,59615384615385;2,88461538461538;3,17307692307692;3,43269230769231;"ACRRIS"
2002;"Atlantique";2,33119658119658;2,54273504273504;2,77777777777778;3,05555555555556;3,30555555555556;"ACRRIS"
2003;"Atlantique";1,6875;1,875;2,08333333333333;2,29166666666667;2,47916666666667;"ACRRIS"
2004;"Atlantique";2,6875;4,375;6,25;8,125;9,8125;"ACRRIS"
2005;"Atlantique";2,00183823529412;4,13602941176471;6,50735294117647;8,87867647058824;11,0128676470588;"ACRRIS"
2006;"Atlantique";2,75;5;7,5;10;12,25;"ACRRIS"
2007;"Atlantique";2,575;3,375;4,28571428571429;9,375;12,55;"ACRRIS"
2008;"Atlantique";2,09216101694915;2,625;4;6,60714285714286;13,1428571428571;"ACRRIS"
2009;"Atlantique";2,74090909090909;2,86363636363636;3;5,73076923076923;8,18846153846154;"ACRRIS"
2010;"Atlantique";2,41153846153846;3;6;11,0472972972973;21,3141891891892;"ACRRIS"
2011;"Atlantique";1,40865384615385;2,65384615384615;6,81818181818182;12,5;17,8125;"ACRRIS"
2012;"Atlantique";2,5;3,39285714285714;7,5;11,25;18,875;"ACRRIS"
2013;"Atlantique";2,38111888111888;2,93181818181818;6,125;9,28267045454546;16,5056818181818;"ACRRIS"
2014;"Atlantique";2,62105263157895;3;4,5;6,66666666666667;17,7333333333333;"ACRRIS"
2015;"Atlantique";2,5875;3,75;7,625;13,5;20,7625;"ACRRIS"
2016;"Atlantique";2,50555555555556;5,05555555555556;6,28125;8,046875;12,0546875;"ACRRIS"
2017;"Atlantique";2,35096153846154;3;5,625;8,203125;13,59375;"ACRRIS"
2018;"Atlantique";2,5;2,5;3;3,5;8,3;"ACRRIS"
2019;"Atlantique";2,5875;3;5,58333333333333;8,8125;9;"ACRRIS"
2020;"Atlantique";3,375;6,75;10,8181818181818;14,2272727272727;15,8227272727273;"ACRRIS"
2021;"Atlantique";2,5625;3;3;7,3125;11,59375;"ACRRIS"
2022;"Atlantique";3,12954545454545;4,29545454545454;5,59090909090909;6,88636363636364;8,05227272727273;"ACRRIS"
1990;"Atlantique";0,294117647058824;0,294117647058824;0,294117647058824;0,294117647058824;0,294117647058824;"ACRSCH"
1991;"Atlantique";2,64705882352941;2,64705882352941;2,64705882352941;2,64705882352941;2,64705882352941;"ACRSCH"
2000;"Atlantique";1,64838877338877;1,88929313929314;2,15696465696466;2,42463617463617;2,66554054054054;"ACRSCH"
2001;"Atlantique";1,77239010989011;2,29532967032967;2,87637362637363;3,45741758241758;3,98035714285714;"ACRSCH"
2002;"Atlantique";1,25988488488488;1,6529029029029;2,08958958958959;2,52627627627628;2,91929429429429;"ACRSCH"
2004;"Atlantique";1,47916666666667;4,40705128205128;7,66025641025641;10,9134615384615;13,8413461538462;"ACRSCH"
2005;"Atlantique";2,16964285714286;2,41071428571429;2,85714285714286;7,41071428571429;18,7410714285714;"ACRSCH"
2006;"Atlantique";12,5;12,5;12,5;12,5;12,5;"ACRSCH"
2007;"Atlantique";1,05714285714286;1,57142857142857;2,14285714285714;5,23809523809524;8,02380952380952;"ACRSCH"
2008;"Atlantique";2,16614906832298;2,37577639751553;2,60869565217391;2,66798418972332;2,72134387351779;"ACRSCH"
2009;"Atlantique";1,60096153846154;2,35576923076923;2,5;2,67045454545455;7,61013986013986;"ACRSCH"
2010;"Atlantique";1,125;2,125;2,75;5,25;6,45652173913044;"ACRSCH"
2011;"Atlantique";5,125;6,25;7,5;16,0227272727273;23,6931818181818;"ACRSCH"
2012;"Atlantique";1,28846153846154;2,5;3;5,83333333333333;9,17424242424243;"ACRSCH"
