"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";"Court";0,354838709677419;0,354838709677419;0,354838709677419;0,354838709677419;0,354838709677419
2002;"Aquatique";"Court";1;1;1;1;1
2003;"Aquatique";"Court";0,800833333333333;0,808333333333333;0,816666666666667;0,825;0,8325
2005;"Aquatique";"Court";0,9375;1,01785714285714;1,10714285714286;1,19642857142857;1,27678571428571
2006;"Aquatique";"Court";0,313541666666667;0,510416666666667;0,729166666666667;0,947916666666667;1,14479166666667
2007;"Aquatique";"Court";0,499679487179487;1,18910256410256;1,6984126984127;2,06428571428571;2,36642857142857
2008;"Aquatique";"Court";0,360833333333333;0,608333333333333;0,775;1,4625;3,11625
2009;"Aquatique";"Court";0,40625;0,6875;1;1,02173913043478;1,04130434782609
2010;"Aquatique";"Court";0,601153846153846;0,611538461538462;0,736263736263736;1,41558441558442;2,92337662337662
2011;"Aquatique";"Court";0,411024844720497;0,979813664596273;1,42857142857143;1,76785714285714;2,04107142857143
2012;"Aquatique";"Court";0,01875;0,1875;0,339285714285714;0,446428571428571;0,494642857142857
2013;"Aquatique";"Court";0,330392156862745;0,656862745098039;0,888888888888889;1,15625;1,578125
2014;"Aquatique";"Court";0,575833333333333;0,583333333333333;0,972972972972973;2,14285714285714;2,91428571428571
2015;"Aquatique";"Court";0,259166666666667;0,7125;0,97843137254902;1,57236842105263;2,89815789473684
2016;"Aquatique";"Court";0,368872549019608;0,623949579831933;0,696428571428571;1,00568181818182;1,25
2017;"Aquatique";"Court";0,664596273291925;1;1,55;2,14285714285714;2,24137931034483
2018;"Aquatique";"Court";0,860714285714286;0,923076923076923;1,31578947368421;2,26315789473684;3,31136363636364
2019;"Aquatique";"Court";0,354166666666667;0,541666666666667;0,766666666666667;1,18888888888889;1,53703703703704
2020;"Aquatique";"Court";0,413025210084034;0,42436974789916;0,595238095238095;0,838095238095238;1,04380952380952
2021;"Aquatique";"Court";1,07457386363636;1,18323863636364;1,30397727272727;1,42471590909091;1,53338068181818
2022;"Aquatique";"Court";0,722222222222222;0,722222222222222;0,722222222222222;0,722222222222222;0,722222222222222
1997;"STOC-rozo";"Court";0,236111111111111;0,361111111111111;0,5;0,583333333333333;0,658333333333333
1998;"STOC-rozo";"Court";0,432142857142857;0,464285714285714;0,5;0,583333333333333;0,658333333333333
1999;"STOC-rozo";"Court";0,38125;0,4375;0,5;0,5;0,5
2000;"STOC-rozo";"Court";0,252205882352941;0,272058823529412;0,294117647058824;0,42483660130719;0,542483660130719
2001;"STOC-rozo";"Court";0;0,375;1;2,33333333333333;2,96666666666667
2002;"STOC-rozo";"Court";0,0125;0,2875;1,59782608695652;2,04166666666667;2,85069444444444
2003;"STOC-rozo";"Court";0,0255813953488372;0,428571428571429;0,632996632996633;1,17094017094017;2,08303571428571
2004;"STOC-rozo";"Court";0,18796992481203;0,464285714285714;0,55;1,47619047619048;2,11757575757576
2005;"STOC-rozo";"Court";0,238020833333333;0,453125;0,628368794326241;1,97150735294118;2,96911764705882
2006;"STOC-rozo";"Court";0,177083333333333;0,45;1;1,40990990990991;2,44711538461538
2007;"STOC-rozo";"Court";0,439746732026144;1,03947368421053;1,41176470588235;2,05681818181818;3,59553571428571
2008;"STOC-rozo";"Court";0;0,314102564102564;0,514880952380952;1;2,70454545454545
2009;"STOC-rozo";"Court";0,105769230769231;0,7225;1,61695652173913;2,01923076923077;4,06833333333333
2010;"STOC-rozo";"Court";0,0333333333333333;0,5;0,894736842105263;1,27777777777778;2,0775
2011;"STOC-rozo";"Court";0,207692307692308;0,291666666666667;0,851063829787234;1,67775467775468;3,52477477477477
2012;"STOC-rozo";"Court";0,147004608294931;0,213768115942029;0,45;0,5625;1
2013;"STOC-rozo";"Court";0;0,214285714285714;0,571428571428571;1;2,38181818181818
2014;"STOC-rozo";"Court";0,801538461538462;1;1,71428571428571;3,18181818181818;4,26666666666667
2015;"STOC-rozo";"Court";0,0392857142857143;0,409391534391534;0,627450980392157;1;1,11385416666667
2016;"STOC-rozo";"Court";0,0733870967741936;0,430925666199159;0,654545454545455;0,886764705882353;3,36323529411765
2017;"STOC-rozo";"Court";0,5;0,703125;1,29292929292929;1,675;2,49444444444444
2018;"STOC-rozo";"Court";0,08125;0,371848739495798;0,880555555555556;1,375;2,56666666666667
2019;"STOC-rozo";"Court";0,09375;0,636363636363636;1;1,69230769230769;2,44166666666667
