"AGE_first";"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";1990;"Atlantique";-0,0933982683982684;-0,0151359910581221;0,0588235294117647;0,117305061559507;0,333333333333333
"JUV";1990;"Atlantique";-0,0666666666666667;0;0,0238095238095238;0,142857142857143;0,230204962243797
"AD";1991;"Atlantique";-0,136363636363636;-0,0666666666666667;0;0,0588235294117647;0,2
"JUV";1991;"Atlantique";-0,151515151515152;-0,0909090909090909;-0,0303030303030303;0;0,105555555555555
"AD";1992;"Atlantique";-0,140151515151516;-0,037878787878788;0,0303030303030303;0,0787878787878787;0,127878787878788
"AD";1993;"Atlantique";-0,2;-0,0817733990147783;-0,0303030303030303;0,0156818181818182;0,198235294117647
"JUV";1993;"Atlantique";-0,20842151675485;-0,107142857142857;-0,0303030303030303;0;0,111111111111111
"AD";1994;"Atlantique";-0,116477272727273;-0,0303030303030303;0,0113636363636364;0,0572755417956656;0,139705882352941
"JUV";1994;"Atlantique";-0,0476190476190477;-0,0383726306056404;-0,0123456790123456;0,0185185185185186;0,0493827160493828
"AD";1995;"Atlantique";-0,2;-0,0666666666666667;0;0,0666666666666667;0,275401069518717
"JUV";1995;"Atlantique";-0,140740740740741;-0,0123456790123456;0;0,0485008818342152;0,138888888888889
"AD";1996;"Atlantique";-0,2;-0,0526315789473684;0;0,0627450980392157;0,163636363636364
"JUV";1996;"Atlantique";-0,111607142857143;-0,0346320346320346;0;0,0350729517396184;0,130208333333333
"AD";1999;"Atlantique";-0,2;-0,0229978354978355;0,0476190476190476;0,0882352941176471;0,207941176470588
"JUV";1999;"Atlantique";-0,113474025974026;0,00595238095238095;0,0714285714285714;0,141975308641975;0,283333333333333
"AD";2000;"Atlantique";-0,14265873015873;-0,0545454545454545;0;0,0588235294117647;0,236363636363636
"JUV";2000;"Atlantique";-0,142857142857143;-0,0357142857142857;0;0,0498456790123457;0,144278606965174
"AD";2001;"Atlantique";-0,142857142857143;-0,0555555555555556;0;0,0666666666666667;0,266666666666667
"JUV";2001;"Atlantique";-0,142857142857143;-0,0476190476190477;0;0,0604065132264699;0,214285714285714
"AD";2002;"Atlantique";-0,180454545454546;-0,0571428571428571;0;0,0545454545454545;0,2
"JUV";2002;"Atlantique";-0,142857142857143;-0,0487534460026369;0;0,0441767068273093;0,142857142857143
"AD";2003;"Atlantique";-0,2;-0,0624999999999999;-0,00749063670411982;0,0340909090909091;0,205882352941176
"JUV";2003;"Atlantique";-0,179715061058344;-0,0714285714285714;0;0,0416666666666666;0,168055555555556
"AD";2004;"Atlantique";-0,15;-0,0588235294117647;-0,00555338648693077;0,04;0,2
"JUV";2004;"Atlantique";-0,148936170212766;-0,0476190476190477;0;0,0446262662590661;0,142857142857143
"AD";2005;"Atlantique";-0,144380753739931;-0,0461997019374068;0;0,0555555555555556;0,2
"JUV";2005;"Atlantique";-0,147528160200251;-0,0476190476190477;0;0,0476190476190476;0,144892068273092
"AD";2006;"Atlantique";-0,151521915584416;-0,0476190476190476;0;0,0526315789473684;0,2
"JUV";2006;"Atlantique";-0,166666666666667;-0,0582524271844662;-0,0123456790123456;0,0357142857142857;0,142680776014109
"AD";2007;"Atlantique";-0,133410852713178;-0,0476190476190476;0;0,0574175824175824;0,2
"JUV";2007;"Atlantique";-0,151515151515152;-0,0476190476190476;0;0,0493827160493828;0,151573426573427
"AD";2008;"Atlantique";-0,147506471095772;-0,0457142857142858;0;0,0533333333333334;0,181818181818182
"JUV";2008;"Atlantique";-0,157575757575758;-0,0555555555555555;0;0,0429453262786595;0,146323529411765
"AD";2009;"Atlantique";-0,159090909090909;-0,0478341291349422;0;0,0545454545454545;0,205357142857143
"JUV";2009;"Atlantique";-0,148936170212766;-0,0490816019271304;0;0,0476190476190476;0,146853233830845
"AD";2010;"Atlantique";-0,142857142857143;-0,05;0;0,0571428571428571;0,203883928571428
"JUV";2010;"Atlantique";-0,146186252771618;-0,0476190476190477;0;0,0456293706293707;0,142857142857143
"AD";2011;"Atlantique";-0,138542039355993;-0,0545454545454545;0;0,0465116279069768;0,2
"JUV";2011;"Atlantique";-0,142857142857143;-0,0476190476190477;0;0,0416666666666666;0,142857142857143
