"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
"ERIRUB";1990;"AD";"Court";15,3427083333333;16,5520833333333;17,8857142857143;18,8285714285714;18,9828571428571;"Atlantique"
"FRICOE";1990;"AD";"Court";20,2418518518519;20,8629629629629;21,5530864197531;22,2432098765432;22,8643209876543;"Atlantique"
"PARCAE";1990;"AD";"Court";10,8731617647058;11,2316176470588;11,6299019607843;12,0281862745098;12,3866421568627;"Atlantique"
"PARMAJ";1990;"AD";"Court";16,6901408450704;16,9014084507042;17,2297297297297;17,7631578947369;17,9763157894737;"Atlantique"
"PHYCOL";1990;"AD";"Court";6,92416666666668;7,75740740740742;9;9,91666666666668;12,2036842105263;"Atlantique"
"PRUMOD";1990;"AD";"Court";17,65;19;19,4444444444444;22,3611111111111;23,5449346405229;"Atlantique"
"PYRULA";1990;"AD";"Court";21,2625;21,2625;21,2625;21,2625;21,2625;"Atlantique"
"SYLATR";1990;"AD";"Court";15,5959598296927;17,4555689399555;18,0008330248056;18,8087162162161;20,912705399061;"Atlantique"
"TROTRO";1990;"AD";"Court";10,4456227836879;10,6264406028369;10,8273492907801;11,0282579787234;11,2090757978723;"Atlantique"
"TURMER";1990;"AD";"Court";80,7659774436091;84,8635675348276;88,2692307692312;90,8163030998855;95,81625;"Atlantique"
"TURPHI";1990;"AD";"Court";61,1209482758622;62,5094827586208;64,0522988505748;65,5951149425288;66,9836494252874;"Atlantique"
"AEGCAU";1991;"AD";"Court";8;8;8;8;8;"Atlantique"
"ERIRUB";1991;"AD";"Court";14,7946666666667;15,6778523489933;16,2222222222222;16,7702702702702;19,7179968701095;"Atlantique"
"FRICOE";1991;"AD";"Court";20,1817866555694;20,2623110001388;20,7633513663476;21,3627075351214;21,7086845466157;"Atlantique"
"PARCAE";1991;"AD";"Court";10,4027966485507;10,7670969202899;11,171875;11,171875;11,171875;"Atlantique"
"PARMAJ";1991;"AD";"Court";15,4295704295704;16,1621640537514;16,9507042253521;17,3546342174293;18,5717429577465;"Atlantique"
"PHYCOL";1991;"AD";"Court";6,82973360655737;7,07743362831858;7,6753040719196;8,10344827586207;9,39583333333333;"Atlantique"
"PRUMOD";1991;"AD";"Court";17,8298916377019;18,3066693330667;18,5294117647059;19,2534837425348;19,7855430874823;"Atlantique"
"SYLATR";1991;"AD";"Court";14,2327724358974;15,833491391888;16,8851351351351;18,0024657534246;19,9441863738738;"Atlantique"
"TROTRO";1991;"AD";"Court";9,56585081585082;10,5376344086021;10,6732673267327;10,8888888888889;11,2841346153846;"Atlantique"
"TURMER";1991;"AD";"Court";77,25;80,7936907881476;88,3078437310723;91,9254098360656;98,9777777777778;"Atlantique"
"TURPHI";1991;"AD";"Court";64,9000000000002;64,9000000000002;64,9000000000002;64,9000000000002;64,9000000000002;"Atlantique"
"ERIRUB";1992;"AD";"Court";14,1939618746965;15,0706532297232;16,0447547353084;17,0188562408936;17,8955475959204;"Atlantique"
"PHYCOL";1992;"AD";"Court";8,4285714285714;8,4285714285714;8,4285714285714;8,4285714285714;8,4285714285714;"Atlantique"
"ERIRUB";1993;"AD";"Court";14,3943661971831;15,2995833333333;15,7837837837837;16,8055555555556;19,3372796709753;"Atlantique"
"FRICOE";1993;"AD";"Court";20,5361513486513;20,656968031968;20,7912087912088;20,8956043956044;20,9895604395604;"Atlantique"
"PARCAE";1993;"AD";"Court";11;11;11;11;11;"Atlantique"
"PARMAJ";1993;"AD";"Court";15,2443539429841;15,5844155844155;16,5584415584415;17,4657534246575;17,9064935064935;"Atlantique"
"PHYCOL";1993;"AD";"Court";6,16081081081081;6,71544715447156;7,06034482758621;7,64814814814814;9,43907232704402;"Atlantique"
"PRUMOD";1993;"AD";"Court";17,0630434782609;17,6304347826087;18,2608695652174;18,768115942029;19,2246376811594;"Atlantique"
"SYLATR";1993;"AD";"Court";12,9985872235872;15,4004481434059;16,3333333333333;17,3541666666667;18,7995215311004;"Atlantique"
"TROTRO";1993;"AD";"Court";8,42287234042553;9,19999999999999;9,89999999999998;10;12,1968085106383;"Atlantique"
"TURMER";1993;"AD";"Court";83,5153397327311;86;89,8770491803279;95,625;96,9216101694916;"Atlantique"
"ERIRUB";1994;"AD";"Court";15,4157894736842;15,8421052631579;16,1678321678322;16,6214665616074;17,3931325716537;"Atlantique"
"PARCAE";1994;"AD";"Court";10;10;10;10;10;"Atlantique"
"PARMAJ";1994;"AD";"Court";16,5584415584415;16,5584415584415;16,5584415584415;16,5584415584415;16,5584415584415;"Atlantique"
"PHYCOL";1994;"AD";"Court";7,23751334858886;7,73165522501907;8,28070175438597;8,28070175438597;8,28070175438597;"Atlantique"
"PRUMOD";1994;"AD";"Court";19,4609599646096;19,8650740986507;20,3140898031409;20,7631055076311;21,1672196416722;"Atlantique"
"SYLATR";1994;"AD";"Court";15,7440769230769;16,3207692307692;16,9615384615384;17,7907692307692;18,5370769230769;"Atlantique"
"TROTRO";1994;"AD";"Court";11;11;11;11;11;"Atlantique"
"TURMER";1994;"AD";"Court";78,4168367346939;87,0901639344263;89,5289595717531;91,379492600423;93,6452727272728;"Atlantique"
"AEGCAU";1995;"AD";"Court";7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;"Atlantique"
"ERIRUB";1995;"AD";"Court";15,4677746478873;15,7837837837837;16;17,52;21,3712273641851;"Atlantique"
"FRICOE";1995;"AD";"Court";21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;"Atlantique"
"PARMAJ";1995;"AD";"Court";18,7566021126761;18,8160211267606;18,8820422535211;18,9480633802817;19,0074823943662;"Atlantique"
"PHYCOL";1995;"AD";"Court";6,4828629032258;6,85512295081968;7,18315184513007;7,93277310924367;8,37097178683386;"Atlantique"
"PRUMOD";1995;"AD";"Court";16,1151079136691;16,1151079136691;18,4830858717281;21,2064796905222;22,1661025145068;"Atlantique"
"SYLATR";1995;"AD";"Court";14,9677746478873;16,6599999999999;17,1164383561644;17,8783783783783;23,0264560334983;"Atlantique"
"TROTRO";1995;"AD";"Court";7,86808300395257;8,52173913043478;9;11;11;"Atlantique"
"TURMER";1995;"AD";"Court";85,7437500000003;90,1754032258065;91,3316326530612;92,2689302884617;94,5706730769231;"Atlantique"
"AEGCAU";1996;"AD";"Court";9,08014777980109;9,13205631040762;9,18973245552598;9,24740860064435;9,29931713125088;"Atlantique"
"ERIRUB";1996;"AD";"Court";13,8833333333333;15,7837837837837;16,5466666666667;17,2894736842105;19,5059627329193;"Atlantique"
"FRICOE";1996;"AD";"Court";20,4396364838071;21,767151354924;23,190387374462;24,1964016862391;24,3974179464017;"Atlantique"
"PARCAE";1996;"AD";"Court";10,0167910447761;10,1679104477612;10,3358208955224;10,5037313432836;10,6548507462687;"Atlantique"
"PARMAJ";1996;"AD";"Court";16,0243670886076;16,9571074238796;17,4991104785625;18,029487635652;21,566095890411;"Atlantique"
"PHYCOL";1996;"AD";"Court";6,36165584415585;6,77049180327866;7,61290322580644;7,73770491803276;8,04298850574714;"Atlantique"
"PRUMOD";1996;"AD";"Court";18,0288864730548;19,0909090909091;20,1515151515151;20,2898550724638;20,4987212276215;"Atlantique"
"SYLATR";1996;"AD";"Court";14,9075113279888;16,2770114942529;17,4078947368421;17,8783783783783;18,9108128173197;"Atlantique"
"TROTRO";1996;"AD";"Court";9,08;9,79999999999996;10;10,2558139534884;11,8255813953488;"Atlantique"
"TURMER";1996;"AD";"Court";71,4612356870228;85,1693227091634;89,25;94,0644531250001;99,7978830645162;"Atlantique"
"TURPHI";1996;"AD";"Court";65,5666666666666;65,6666666666666;65,7777777777778;65,8888888888889;65,9888888888889;"Atlantique"
"AEGCAU";1999;"AD";"Court";8,17540229885058;8,49595905172415;8,64166666666667;8,71428571428571;8,90584975369458;"Atlantique"
"ERIRUB";1999;"AD";"Court";14,9159503631961;15,8869539269515;16;16,3638656261895;18,4271507422915;"Atlantique"
"FRICOE";1999;"AD";"Court";25,1707317073171;25,1707317073171;25,1707317073171;25,1707317073171;25,1707317073171;"Atlantique"
"PARMAJ";1999;"AD";"Court";17,753125;18,15625;18,6041666666667;19,0520833333333;19,4552083333333;"Atlantique"
"PHYCOL";1999;"AD";"Court";6,26548672566372;6,48338923779617;7,64485245901636;7,85041322314051;8,58155;"Atlantique"
"PYRULA";1999;"AD";"Court";21,2914285714285;21,2914285714285;21,2914285714285;21,2914285714285;21,2914285714285;"Atlantique"
"SYLATR";1999;"AD";"Court";16,0388374676046;17,2049716580066;18,375;19,3751407657657;22,2703125;"Atlantique"
"TURMER";1999;"AD";"Court";88,74;88,74;88,74;88,74;88,74;"Atlantique"
"AEGCAU";2000;"AD";"Court";7,52324380165289;8,1;8,36290322580646;9,34519286966687;10;"Atlantique"
"CETCET";2000;"AD";"Court";11,6298548094374;12,8421052631579;14;14,758064516129;15,6669738863287;"Atlantique"
"ERIRUB";2000;"AD";"Court";14,8634105960265;15,9021739130435;16,8057553956835;17,2212009803922;18,7897887323944;"Atlantique"
"FRICOE";2000;"AD";"Court";21,3317318868656;21,8624521072797;22,0243902439024;22,4722116963497;26,588393608074;"Atlantique"
"PARCAE";2000;"AD";"Court";10,0099354197715;10,8333333333333;11;11,6796875;12,2777777777778;"Atlantique"
"PARMAJ";2000;"AD";"Court";15,7125;16,6400266308654;17,2887145748988;18,1232219061167;19,2567567567568;"Atlantique"
"PASDOM";2000;"AD";"Court";28,5;28,5;28,5;28,5;28,5;"Atlantique"
"PHYCOL";2000;"AD";"Court";6,55555555555555;7;7,37500000000002;8,06837606837606;8,94816466552316;"Atlantique"
"PRUMOD";2000;"AD";"Court";17,4710144927536;19;19,2753623188406;19,7777655838455;21,2467061923584;"Atlantique"
"PYRULA";2000;"AD";"Court";19,0786585365853;19,5;21;22,4457831325302;24,8822784810127;"Atlantique"
"SYLATR";2000;"AD";"Court";15,2727272727272;16,3067318132465;17,1818181818181;18,2534292122674;20,9361486486486;"Atlantique"
"TROTRO";2000;"AD";"Court";8,39583333333333;9,33410904255319;9,60784313725492;10,0520833333333;11,9394760924274;"Atlantique"
"TURMER";2000;"AD";"Court";75,5217127239601;83,687258687259;87,288461538462;91,5120967741936;99,3897637795276;"Atlantique"
"TURPHI";2000;"AD";"Court";60,5391304347826;63,4034500968137;66,5663134819144;72,3222401145107;78,7864316239316;"Atlantique"
"AEGCAU";2001;"AD";"Court";7,3729872881356;7,87096774193549;8;8,13333333333333;8,41379310344828;"Atlantique"
"ERIRUB";2001;"AD";"Court";14,7972972972972;16,2222222222222;17,0586206896552;18,4427816901409;22,7606617647059;"Atlantique"
"FRICOE";2001;"AD";"Court";19,9581956378057;20,6702491450904;21,2584269662922;21,8681318681319;23,1892857142857;"Atlantique"
"PARCAE";2001;"AD";"Court";10,1931818181818;11;11,171875;11,6417910447761;13,7033582089552;"Atlantique"
"PARMAJ";2001;"AD";"Court";15,1898734177216;16,439127375088;17,2297297297297;18,0194805194805;20,8333333333333;"Atlantique"
"PASDOM";2001;"AD";"Court";25,4962728658537;26,0791139240506;26,8866715045961;27,8662420382166;30,7941146496815;"Atlantique"
"PHYCOL";2001;"AD";"Court";6,50894495412844;7,25409836065571;7,77780536246276;8,5435064935065;9,83333333333336;"Atlantique"
"PRUMOD";2001;"AD";"Court";15,8219178082192;18,7323943661973;19,4444444444444;20,1515151515151;23,9623421354765;"Atlantique"
"PYRULA";2001;"AD";"Court";18,4719886363636;19,7071678321678;20,4939759036145;21,6358309514087;23,5822784810127;"Atlantique"
