"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2007;"Aquatique";"ACRAGR";"Court";0;0;0;0;0
2013;"STOC-rozo";"ACRAGR";"Court";0;0;0;0;0
2001;"STOC-rozo";"ACRMEL";"Court";0,0624999999999998;0,625;1,25;1,875;2,4375
2022;"STOC-rozo";"ACRMEL";"Court";0;0;0;0;0
2009;"Terrestre";"ACRMEL";"Court";0;0;0;0;0
2013;"Terrestre";"ACRMEL";"Court";0;0;0;0;0
2015;"Terrestre";"ACRMEL";"Court";0;0;0;0;0
2017;"Terrestre";"ACRMEL";"Court";1;1;1;1;1
2003;"Aquatique";"AEGCAU";"Court";0,25;0,25;0,25;0,25;0,25
2006;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2008;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2011;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2014;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2016;"Aquatique";"AEGCAU";"Court";0,0218749999999999;0,21875;0,4375;0,65625;0,853125
2017;"Aquatique";"AEGCAU";"Court";6;6;6;6;6
2018;"Aquatique";"AEGCAU";"Court";3;3;3;3;3
2019;"Aquatique";"AEGCAU";"Court";1;1;1;1;1
2002;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2003;"STOC-rozo";"AEGCAU";"Court";7;7;7;7;7
2004;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2006;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2007;"STOC-rozo";"AEGCAU";"Court";0,025;0,25;0,5;2,75;4,775
2008;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2009;"STOC-rozo";"AEGCAU";"Court";1;1;1;1;1
2010;"STOC-rozo";"AEGCAU";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2012;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2014;"STOC-rozo";"AEGCAU";"Court";2;2;2;2;2
2015;"STOC-rozo";"AEGCAU";"Court";0,83125;1,5625;2,375;3,1875;3,91875
2016;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2017;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2018;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2020;"STOC-rozo";"AEGCAU";"Court";1;1;1;1;1
2021;"STOC-rozo";"AEGCAU";"Court";0,0333333333333332;0,333333333333333;0,666666666666667;1;1,3
2022;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
1989;"Terrestre";"AEGCAU";"Court";0,444444444444444;0,444444444444444;0,444444444444444;0,444444444444444;0,444444444444444
1990;"Terrestre";"AEGCAU";"Court";0;0;1,33333333333333;2,11111111111111;2,6
1991;"Terrestre";"AEGCAU";"Court";0,03;0,3;0,825;1,3125;1,48125
1992;"Terrestre";"AEGCAU";"Court";0;0;1,25;2,55357142857143;2,69821428571429
1993;"Terrestre";"AEGCAU";"Court";0,333333333333333;0,426470588235294;0,852941176470588;1,1875;8,03125
1994;"Terrestre";"AEGCAU";"Court";0;0;0,166666666666667;0,6;2,76
1995;"Terrestre";"AEGCAU";"Court";0;0;0;3,5;12,95
1996;"Terrestre";"AEGCAU";"Court";0,05625;0,5625;1,25;1,89583333333333;2,28958333333333
1997;"Terrestre";"AEGCAU";"Court";0;0;0,3;0,9;2,96875
1998;"Terrestre";"AEGCAU";"Court";0;0,125;0,833333333333333;2,29166666666667;4,70833333333333
1999;"Terrestre";"AEGCAU";"Court";0;0;1;1,16666666666667;1,91666666666667
2000;"Terrestre";"AEGCAU";"Court";0,05;0,5;1,14285714285714;1,5;4,05
2001;"Terrestre";"AEGCAU";"Court";0;0;1;1,7;2,83333333333333
2002;"Terrestre";"AEGCAU";"Court";0;0;0,5;1,74107142857143;7
2003;"Terrestre";"AEGCAU";"Court";0;0,25;1,38888888888889;2,3125;5,725
2004;"Terrestre";"AEGCAU";"Court";0;0;0,1;1;7,25
2005;"Terrestre";"AEGCAU";"Court";0;0;0,166666666666667;1,08333333333333;2,50714285714286
2006;"Terrestre";"AEGCAU";"Court";0;0;0,527777777777778;3;12,2875
2007;"Terrestre";"AEGCAU";"Court";0;0,413461538461538;1,25;2,0625;7,21249999999996
2008;"Terrestre";"AEGCAU";"Court";0;0;1,33928571428571;2;5,075
2009;"Terrestre";"AEGCAU";"Court";0;0;1;3;8,9625
2010;"Terrestre";"AEGCAU";"Court";0;0;0,5;1,75;5,3
2011;"Terrestre";"AEGCAU";"Court";0;0,5625;1,45833333333333;2,625;5,85
2012;"Terrestre";"AEGCAU";"Court";0;0;0,714285714285714;1,11538461538462;2,66944444444444
2013;"Terrestre";"AEGCAU";"Court";0;0;0;1,07692307692308;2,53333333333333
2014;"Terrestre";"AEGCAU";"Court";0;0,1875;0,857142857142857;2,29464285714286;7,89999999999999
2015;"Terrestre";"AEGCAU";"Court";0;0;0,666666666666667;3;5,95
2016;"Terrestre";"AEGCAU";"Court";0;0;0,5;1,5;4
2017;"Terrestre";"AEGCAU";"Court";0;0;0,9;2;5,02
2018;"Terrestre";"AEGCAU";"Court";0;0;0;1;4,22499999999999
2019;"Terrestre";"AEGCAU";"Court";0;0;1;3;6,19999999999999
2020;"Terrestre";"AEGCAU";"Court";0;0;0,5;2;4,75
2021;"Terrestre";"AEGCAU";"Court";0;0;0,875;2,23214285714286;6,67499999999999
2022;"Terrestre";"AEGCAU";"Court";0;0,458333333333333;1,83333333333333;2,75;5,7
2014;"Aquatique";"ALCATT";"Court";1;1;1;1;1
2017;"Aquatique";"ALCATT";"Court";2;2;2;2;2
2019;"Aquatique";"ALCATT";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2000;"STOC-rozo";"ALCATT";"Court";1;1;1;1;1
2003;"STOC-rozo";"ALCATT";"Court";1;1;1;1;1
2007;"STOC-rozo";"ALCATT";"Court";6;6;6;6;6
2008;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2010;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2011;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2012;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2013;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2017;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2018;"STOC-rozo";"ALCATT";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2019;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2020;"STOC-rozo";"ALCATT";"Court";3;3;3;3;3
2022;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
1990;"Terrestre";"ALCATT";"Court";3,5;3,5;3,5;3,5;3,5
1991;"Terrestre";"ALCATT";"Court";4;4;4;4;4
1992;"Terrestre";"ALCATT";"Court";0,5;0,5;0,5;0,5;0,5
1993;"Terrestre";"ALCATT";"Court";0,15;1,5;3;3,5;3,95
1994;"Terrestre";"ALCATT";"Court";0,01;0,1;0,2;0,6;0,96
1995;"Terrestre";"ALCATT";"Court";1,675;1,75;1,83333333333333;1,91666666666667;1,99166666666667
1996;"Terrestre";"ALCATT";"Court";1;1;1;1;1
1997;"Terrestre";"ALCATT";"Court";1,5;1,5;1,5;1,5;1,5
1998;"Terrestre";"ALCATT";"Court";0,25;0,25;0,25;0,25;0,25
2000;"Terrestre";"ALCATT";"Court";0;0;0;0;0
2001;"Terrestre";"ALCATT";"Court";0,525;0,75;1;1,75;2,425
2002;"Terrestre";"ALCATT";"Court";0;0;0,333333333333333;2;2
2003;"Terrestre";"ALCATT";"Court";0;0;0,2;0,85;1,875
2004;"Terrestre";"ALCATT";"Court";0;0;1;2,33333333333333;5,8
2005;"Terrestre";"ALCATT";"Court";0;0;0;0,25;0,925
2006;"Terrestre";"ALCATT";"Court";0,0375;0,375;1;1,625;1,9625
2007;"Terrestre";"ALCATT";"Court";0,41875;1;1,5;2,875;3,775
2008;"Terrestre";"ALCATT";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,416666666666667;0,491666666666667
2009;"Terrestre";"ALCATT";"Court";0;0,125;0,583333333333333;1,29166666666667;1,9375
2010;"Terrestre";"ALCATT";"Court";0;0,125;0,75;1,75;2
2011;"Terrestre";"ALCATT";"Court";0;0;0;0,5625;6,1
2012;"Terrestre";"ALCATT";"Court";0;0;0,75;1,5;3,75
2013;"Terrestre";"ALCATT";"Court";0;0;0;0;0
2014;"Terrestre";"ALCATT";"Court";0;0;1;2,83333333333333;3,875
2015;"Terrestre";"ALCATT";"Court";0;0;2;3;4,8
2016;"Terrestre";"ALCATT";"Court";0;0,166666666666667;0,833333333333333;1;1,875
2017;"Terrestre";"ALCATT";"Court";0;0;2;3;4,35
2018;"Terrestre";"ALCATT";"Court";0;0;0;1;3,125
2019;"Terrestre";"ALCATT";"Court";0;0;0,5;1,75;7,2125
2020;"Terrestre";"ALCATT";"Court";0;0,25;1;3,375;4,32083333333333
2021;"Terrestre";"ALCATT";"Court";0;0;0,25;1;1
2022;"Terrestre";"ALCATT";"Court";0;0;0,933333333333333;1,875;5,55
2020;"Terrestre";"ALEUFA";"Court";0;0;0;0;0
2007;"Aquatique";"ANTPRA";"Court";0;0;0;0;0
2010;"Aquatique";"ANTPRA";"Court";0,5;0,5;0,5;0,5;0,5
2015;"Aquatique";"ANTPRA";"Court";4,05;4,5;5;5,5;5,95
2017;"Aquatique";"ANTPRA";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2020;"Aquatique";"ANTPRA";"Court";4;4;4;4;4
2008;"STOC-rozo";"ANTPRA";"Court";0;0;0;0;0
2002;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2013;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2015;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2017;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2018;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2019;"Terrestre";"ANTPRA";"Court";0;0;0;0;0
2003;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2004;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2005;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2011;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2014;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2015;"Terrestre";"ANTRIS";"Court";0;0;0;0;0
2008;"Aquatique";"ASIOTU";"Court";0;0;0;0;0
1992;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
1995;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
1997;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2001;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2002;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2004;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2008;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2010;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2016;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2003;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2004;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2006;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2009;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2013;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2014;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2015;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2016;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2019;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2020;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2021;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2004;"Terrestre";"BUTBUT";"Court";0;0;0;0;0
2009;"Terrestre";"BUTBUT";"Court";0;0;0;0;0
2010;"Terrestre";"BUTBUT";"Court";0;0;0;0;0
2015;"Terrestre";"BUTBUT";"Court";0;0;0;0;0
2018;"Terrestre";"BUTBUT";"Court";0;0;0;0;0
2005;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2010;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2011;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2013;"Aquatique";"CARCHL";"Court";4;4;4;4;4
2015;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2016;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2018;"Aquatique";"CARCHL";"Court";0;0;0;0;0
2020;"Aquatique";"CARCHL";"Court";0;0;0;0;0
1999;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2000;"STOC-rozo";"CARCHL";"Court";0,0125;0,125;0,25;0,375;0,4875
2001;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2002;"STOC-rozo";"CARCHL";"Court";1;1;1;1;1
2004;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2005;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2006;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2007;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2010;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
2019;"STOC-rozo";"CARCHL";"Court";0;0;0;0;0
1989;"Terrestre";"CARCHL";"Court";0;0;0;0;0
1990;"Terrestre";"CARCHL";"Court";0;0;0;0,333333333333333;0,483333333333333
1991;"Terrestre";"CARCHL";"Court";0;0;0;0,0833333333333333;0,308333333333333
1992;"Terrestre";"CARCHL";"Court";0;0;0;0;0
1993;"Terrestre";"CARCHL";"Court";0;0;0;0;0
1994;"Terrestre";"CARCHL";"Court";0,0333333333333332;0,333333333333333;0,666666666666667;1;1,3
1995;"Terrestre";"CARCHL";"Court";0;0;0;0,142857142857143;0,271428571428571
1996;"Terrestre";"CARCHL";"Court";0;0;0;0;0
1998;"Terrestre";"CARCHL";"Court";0;0;0;0;0
1999;"Terrestre";"CARCHL";"Court";0;0;0;0;0
2000;"Terrestre";"CARCHL";"Court";0;0;0;1,25;2,825
2001;"Terrestre";"CARCHL";"Court";0;0;0;0,392857142857143;0,925
2002;"Terrestre";"CARCHL";"Court";0;0;0;0,253968253968254;1,40625
2003;"Terrestre";"CARCHL";"Court";0;0;0;0,416666666666667;1,09285714285714
2004;"Terrestre";"CARCHL";"Court";0;0;0,2;0,5;1
2005;"Terrestre";"CARCHL";"Court";0;0;0;0;0,775
2006;"Terrestre";"CARCHL";"Court";0;0;0;0,19375;1,46428571428571
2007;"Terrestre";"CARCHL";"Court";0;0;0;0;1
2008;"Terrestre";"CARCHL";"Court";0;0;0;0;0,71875
2009;"Terrestre";"CARCHL";"Court";0;0;0;0;4
2010;"Terrestre";"CARCHL";"Court";0;0;0;0;0,3125
2011;"Terrestre";"CARCHL";"Court";0;0;0;0;0,66
2012;"Terrestre";"CARCHL";"Court";0;0;0;0;0,257142857142858
2013;"Terrestre";"CARCHL";"Court";0;0;0;0,297619047619048;0,883333333333333
2014;"Terrestre";"CARCHL";"Court";0;0;0;0;0,799999999999999
2015;"Terrestre";"CARCHL";"Court";0;0;0;0,125;2,1
2016;"Terrestre";"CARCHL";"Court";0;0;0;0;0,66875
2017;"Terrestre";"CARCHL";"Court";0;0;0;0;0,759999999999999
2018;"Terrestre";"CARCHL";"Court";0;0;0;0;0,5
2019;"Terrestre";"CARCHL";"Court";0;0;0;0;0,8625
2020;"Terrestre";"CARCHL";"Court";0;0;0;0;0,633333333333333
2021;"Terrestre";"CARCHL";"Court";0;0;0;0;1
2022;"Terrestre";"CARCHL";"Court";0;0;0;0;1,53333333333333
2015;"Terrestre";"CARERY";"Court";0;0;0;0;0
2011;"Aquatique";"CARINA";"Court";0;0;0;0;0
2012;"Aquatique";"CARINA";"Court";0,2;0,2;0,2;0,2;0,2
2015;"Aquatique";"CARINA";"Court";2,35;5,5;9;12,5;15,65
2016;"Aquatique";"CARINA";"Court";0;0;0;0;0
2017;"Aquatique";"CARINA";"Court";4,33333333333333;4,33333333333333;4,33333333333333;4,33333333333333;4,33333333333333
2018;"Aquatique";"CARINA";"Court";1,0125;1,125;1,25;1,375;1,4875
2020;"Aquatique";"CARINA";"Court";0;0;0;0;0
2021;"Aquatique";"CARINA";"Court";0;0;0;0;0
1999;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
2002;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
2003;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
2007;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
2009;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
2010;"STOC-rozo";"CARINA";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2012;"STOC-rozo";"CARINA";"Court";0;0;0;0;0
1989;"Terrestre";"CARINA";"Court";0;0;0;0;0
1990;"Terrestre";"CARINA";"Court";0,0089285714285714;0,0892857142857143;0,178571428571429;0,267857142857143;0,348214285714286
