"YEAR";"ESPECE";"MIGRATION";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1990;"AEGCAU";"Court";"Atlantique";0;0;0;1,11111111111111;2,11111111111111
1991;"AEGCAU";"Court";"Atlantique";1,25625;1,3125;1,375;1,4375;1,49375
1992;"AEGCAU";"Court";"Atlantique";2,50535714285714;2,55357142857143;2,60714285714286;2,66071428571429;2,70892857142857
1993;"AEGCAU";"Court";"Atlantique";0,383333333333333;0,833333333333333;1,125;3,1875;8,41875
1994;"AEGCAU";"Court";"Atlantique";0,03;0,3;0,6;1,8;2,88
1995;"AEGCAU";"Court";"Atlantique";0;0;0;0;0
1996;"AEGCAU";"Court";"Atlantique";1,75;1,75;1,75;1,75;1,75
1998;"AEGCAU";"Court";"Atlantique";5;5;5;5;5
1999;"AEGCAU";"Court";"Atlantique";2;2;2;2;2
2000;"AEGCAU";"Court";"Atlantique";0,0857142857142857;0,857142857142857;1,32142857142857;2,20833333333333;4,12083333333333
2001;"AEGCAU";"Court";"Atlantique";0;0;1;1,4;2,24
2002;"AEGCAU";"Court";"Atlantique";0;0;0,5;1,75;6,2
2003;"AEGCAU";"Court";"Atlantique";0;0,25;0,777777777777778;2,25;5,3
2004;"AEGCAU";"Court";"Atlantique";0;0;0,25;1,25;6,5
2005;"AEGCAU";"Court";"Atlantique";0;0;0;0,555555555555556;1,56666666666667
2006;"AEGCAU";"Court";"Atlantique";0;0;0;1,375;6,175
2007;"AEGCAU";"Court";"Atlantique";0;0,471153846153846;1,5;1,89583333333333;11,25
2008;"AEGCAU";"Court";"Atlantique";0;0,05;1,25;1,69444444444444;3,63333333333333
2009;"AEGCAU";"Court";"Atlantique";0;0,375;1,75;3,25;9,75
2010;"AEGCAU";"Court";"Atlantique";0;0,25;1;3;5,15
2011;"AEGCAU";"Court";"Atlantique";0,09375;1,125;2,16666666666667;3,20833333333333;6,25
2012;"AEGCAU";"Court";"Atlantique";0;0,1875;0,69047619047619;1;2,03174603174603
2013;"AEGCAU";"Court";"Atlantique";0;0;0;1,13846153846154;2,63333333333333
2014;"AEGCAU";"Court";"Atlantique";0;0,25;0,714285714285714;2,125;6,45
2015;"AEGCAU";"Court";"Atlantique";0;0;0,9375;3;6
2016;"AEGCAU";"Court";"Atlantique";0;0;0,633333333333333;1,34375;4,65
2017;"AEGCAU";"Court";"Atlantique";0;0;0,894444444444444;2;5,075
2018;"AEGCAU";"Court";"Atlantique";0;0;0;0,660714285714286;1,8725
2019;"AEGCAU";"Court";"Atlantique";0;0;1;3;8,26000000000001
2020;"AEGCAU";"Court";"Atlantique";0;0;0,5;1,75;3,2625
2021;"AEGCAU";"Court";"Atlantique";0;0,285714285714286;1;2,5;5,66666666666667
2022;"AEGCAU";"Court";"Atlantique";0;0,233333333333333;1,33333333333333;2,33333333333333;6,5375
1993;"ALCATT";"Court";"Atlantique";4;4;4;4;4
1994;"ALCATT";"Court";"Atlantique";1;1;1;1;1
1995;"ALCATT";"Court";"Atlantique";2;2;2;2;2
2000;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2001;"ALCATT";"Court";"Atlantique";2,5;2,5;2,5;2,5;2,5
2002;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2003;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2004;"ALCATT";"Court";"Atlantique";0;0;0,25;0,625;0,9625
2005;"ALCATT";"Court";"Atlantique";0;0;0,25;0,625;0,9625
2006;"ALCATT";"Court";"Atlantique";2;2;2;2;2
2007;"ALCATT";"Court";"Atlantique";1;1;1;2,5;2,95
2008;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2009;"ALCATT";"Court";"Atlantique";0;0;0;1;1,9
2010;"ALCATT";"Court";"Atlantique";0,5;0,5;0,5;0,5;0,5
2011;"ALCATT";"Court";"Atlantique";0;0;0;1;6,4
2012;"ALCATT";"Court";"Atlantique";0,0999999999999996;1;2;3;3,9
2013;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2014;"ALCATT";"Court";"Atlantique";0;0;0;1;1
2015;"ALCATT";"Court";"Atlantique";0,1;1;2;2,5;2,95
2016;"ALCATT";"Court";"Atlantique";0;0;0;0;0
2017;"ALCATT";"Court";"Atlantique";0;0;0;1,5;2,85
2018;"ALCATT";"Court";"Atlantique";0,0249999999999999;0,25;0,5;0,75;0,975
2019;"ALCATT";"Court";"Atlantique";0;0;0;1;1,85
2020;"ALCATT";"Court";"Atlantique";0,025;0,25;0,5;1,5;2,4
2021;"ALCATT";"Court";"Atlantique";0;0;0;1;1
2022;"ALCATT";"Court";"Atlantique";0;0;0,333333333333333;1,29166666666667;1,9375
2002;"ANTPRA";"Court";"Atlantique";0;0;0;0;0
2013;"ANTPRA";"Court";"Atlantique";0;0;0;0;0
2019;"ANTPRA";"Court";"Atlantique";0;0;0;0;0
1992;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
1997;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2001;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2002;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2004;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2008;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2010;"ASIOTU";"Court";"Atlantique";0;0;0;0;0
2003;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2004;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2006;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2009;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2013;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2014;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2015;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2016;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2019;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2020;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2021;"ATHNOC";"Court";"Atlantique";0;0;0;0;0
2009;"BUTBUT";"Court";"Atlantique";0;0;0;0;0
2015;"BUTBUT";"Court";"Atlantique";0;0;0;0;0
2018;"BUTBUT";"Court";"Atlantique";0;0;0;0;0
1990;"CARCHL";"Court";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
1991;"CARCHL";"Court";"Atlantique";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
1992;"CARCHL";"Court";"Atlantique";0;0;0;0;0
1993;"CARCHL";"Court";"Atlantique";0;0;0;0;0
1994;"CARCHL";"Court";"Atlantique";1,33333333333333;1,33333333333333;1,33333333333333;1,33333333333333;1,33333333333333
1995;"CARCHL";"Court";"Atlantique";0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286
1996;"CARCHL";"Court";"Atlantique";0;0;0;0;0
2000;"CARCHL";"Court";"Atlantique";0;0;0,5;1,75;2,875
2001;"CARCHL";"Court";"Atlantique";0,0214285714285714;0,214285714285714;0,392857142857143;0,625;0,9625
2002;"CARCHL";"Court";"Atlantique";0;0;0;0,26984126984127;1,439375
2003;"CARCHL";"Court";"Atlantique";0;0;0,25;0,56;1,11428571428571
2004;"CARCHL";"Court";"Atlantique";0;0;0,25;0,5;1
2005;"CARCHL";"Court";"Atlantique";0;0;0;0;0,466666666666667
2006;"CARCHL";"Court";"Atlantique";0;0;0;0,25;0,560714285714286
2007;"CARCHL";"Court";"Atlantique";0;0;0;0,75;1
2008;"CARCHL";"Court";"Atlantique";0;0;0;0;0,850000000000001
2009;"CARCHL";"Court";"Atlantique";0;0;0;0;4,9
2010;"CARCHL";"Court";"Atlantique";0;0;0;0;0,4
2011;"CARCHL";"Court";"Atlantique";0;0;0;0,333333333333333;0,72
2012;"CARCHL";"Court";"Atlantique";0;0;0;0;0,332142857142857
2013;"CARCHL";"Court";"Atlantique";0;0;0;0,30952380952381;0,9
2014;"CARCHL";"Court";"Atlantique";0;0;0;0;0,283333333333333
2015;"CARCHL";"Court";"Atlantique";0;0;0;0,5;0,585
2016;"CARCHL";"Court";"Atlantique";0;0;0;0;0,128571428571429
2017;"CARCHL";"Court";"Atlantique";0;0;0,1;0,2;0,9
