"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1989;"Terrestre";"Court";0,105555555555556;0,493055555555556;0,923611111111111;1,10969287949922;1,27716647104851
1990;"Terrestre";"Court";0,102631578947368;0,436918660287081;0,497695852534562;1,11750936329588;2,3125165855816
1991;"Terrestre";"Court";0,0789473684210526;0,585365853658537;0,675925925925926;0,919540229885057;1,13571144278607
1992;"Terrestre";"Court";0,310368485969781;0,563697318007663;0,88474610974611;1,19485294117647;2,68187651331719
1993;"Terrestre";"Court";0,562148841017889;0,753579884992671;0,851299060254284;1,37604017216643;3,27852443609022
1994;"Terrestre";"Court";0,189091915836102;0,493875313283208;0,602932719953997;0,6953125;1,34035218253968
1995;"Terrestre";"Court";0,071875;0,490441176470588;0,581395348837209;1,44399410464259;1,91954291044776
1996;"Terrestre";"Court";0,307108478341355;0,438342585249802;0,463855421686747;0,664084983917386;2,39
1997;"Terrestre";"Court";0,251874072241465;0,679254079254079;0,765704584040747;0,943473972254041;2,26628145865434
1998;"Terrestre";"Court";0,44813321385902;0,588786201443116;1,11882160392799;1,45830401125968;2,38943208430913
1999;"Terrestre";"Court";0,295042324128863;0,607187950937951;0,907377706495589;1,15288461538462;2,13149038461538
2000;"Terrestre";"Court";0,0624172185430464;0,446853146853147;1,00698878343399;1,21262406947891;2,06903871177619
2001;"Terrestre";"Court";0,253095238095238;0,536764705882353;0,808823529411765;1,12377260981912;1,68693693693694
2002;"Terrestre";"Court";0,246839774557166;0,539871194379391;0,887578616352201;1,51680672268908;2,61223404255319
2003;"Terrestre";"Court";0,21404958677686;0,568610370977659;0,965119549929677;1,24966577540107;2,08099100165759
2004;"Terrestre";"Court";0,200069444444444;0,48132183908046;0,784090909090909;1,36572199730094;2,61609068627451
2005;"Terrestre";"Court";0,206358885017422;0,608618052014278;0,916666666666667;1,22256097560976;2,73285714285714
