"YEAR";"BIOGEOREF";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1990;"Atlantique";"Court";0,449156097560976;0,459560975609756;0,67110125646711;0,929924242424242;1,06799242424242
1991;"Atlantique";"Court";0,45740022172949;0,585365853658537;0,852941176470588;0,933333333333333;1,17933333333333
1992;"Atlantique";"Court";0,460344827586207;0,603448275862069;0,939189189189189;1,22058823529412;2,9440927218345
1993;"Atlantique";"Court";0,779358502148557;0,832259054634745;1,00201288244767;1,84180900621118;3,70382375776397
1994;"Atlantique";"Court";0,504851190476191;0,591369047619048;0,6875;0,916666666666667;1,12291666666667
1995;"Atlantique";"Court";0,463566176470588;0,50625;1,0745887337986;1,7091449532001;1,93061598785732
1996;"Atlantique";"Court";0,305432001980525;0,341991252681961;0,382612642350223;0,423234032018485;0,459793282719921
1997;"Atlantique";"Court";0,70991202346041;0,717302052785924;0,725513196480938;0,733724340175953;0,741114369501466
1998;"Atlantique";"Court";1,00125425170068;1,1375425170068;1,28897392290249;1,44040532879819;1,57669359410431
1999;"Atlantique";"Court";0,891073345259392;0,957245080500894;1,03076923076923;1,64606643356643;2,19983391608392
2000;"Atlantique";"Court";0,21998078440792;0,720698118352877;1,13793103448276;1,3078499369483;2,22912929167955
2001;"Atlantique";"Court";0,330066445182724;0,536764705882353;0,866666666666667;1,12377260981912;1,64363226863227
2002;"Atlantique";"Court";0,246851023017903;0,703787450537027;1,04879635653871;1,63646616541353;2,8670051579626
2003;"Atlantique";"Court";0,26656454830436;0,428571428571429;0,888888888888889;1,20454545454545;2,09981056121241
2004;"Atlantique";"Court";0,212291666666667;0,424228675136116;0,739832535885167;1,38947368421053;2,60817226890756
2005;"Atlantique";"Court";0,452741784037559;0,745584045584046;1,02933673469388;1,20884146341463;3,26765306122449
2006;"Atlantique";"Court";0,2;0,684210526315789;0,952380952380952;1,38461538461538;2,18529411764706
2007;"Atlantique";"Court";0,386954787234043;0,758658008658009;1,23076923076923;1,64008620689655;2,73966905187835
2008;"Atlantique";"Court";0,0450530888030888;0,453242481203008;0,714594807238395;0,916223404255319;1,72327226345083
2009;"Atlantique";"Court";0,281609195402299;0,634146341463415;1,15789473684211;1,59016393442623;2,81685185185185
2010;"Atlantique";"Court";0,255490051584377;0,448706896551724;0,813461538461538;1,04915636485132;1,89989809782609
2011;"Atlantique";"Court";0,250604395604396;0,70144563167819;1,11126373626374;1,52525466893039;2,45808823529412
