"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"ACCNIS";0;0;0;0;0;0,687499999999999;1;58;0,0121323529411765;"Terrestre";"Long";34;0,118466898954704
"Terrestre";"ACRARU";0;0;0;0,625;1,4;1,85;1;58;0,0121216573611519;"Aquatique";"Long";9;0,0313588850174216
"Terrestre";"ACRMEL";0;0;0;0;0;0;0;78;0;"Aquatique";"Court";1;0,00348432055749129
"Terrestre";"ACRRIS";0;0;1;3;9,6;13,7125;5;58;0,121822033898305;"Aquatique";"Long";57;0,198606271777003
"Terrestre";"ACRSCH";0;0;0;0,625;3,25;7,7625;3;58;0,0656882591093117;"Aquatique";"Long";49;0,170731707317073
"Terrestre";"ACRSCI";0;0;1;6,625;24,4;40,625;21;58;0,329317269076305;"Aquatique";"Long";137;0,477351916376307
"Terrestre";"ACTHYP";0;0;0;0;0;0;0;28,5;0;"Aquatique";"Long";2;0,00696864111498258
"Terrestre";"AEGCAU";0;0;0;2;4;7;24;58;0,363636363636364;"Terrestre";"Court";226;0,787456445993031
"Terrestre";"ALCATT";0;0;0;0;1;2,0375;5;58;0,0833333333333333;"Aquatique";"Court";95;0,331010452961672
"Terrestre";"ALEUFA";0;0;0;0;0;0;0;102;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"ANTPRA";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Court";5;0,0174216027874564
"Terrestre";"ANTRIS";0;0;0;0;0;0;0;84;0;"Terrestre";"Court";2;0,00696864111498258
"Terrestre";"ANTTRI";0;0;0;1;2,4;4,65;5;58;0,0881374722838137;"Terrestre";"Long";63;0,219512195121951
"Terrestre";"APUAPU";0;0;0;0;0;0;0;79;0;"Terrestre";"Long";4;0,0139372822299652
"Terrestre";"ASIOTU";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";10;0,0348432055749129
"Terrestre";"ATHNOC";0;0;0;0,125;0,35;0,4625;0,5;82,5;0,00467289719626168;"Terrestre";"Court";5;0,0174216027874564
"Terrestre";"BUTBUT";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";7;0,024390243902439
"Terrestre";"CAPEUR";0;0;0;0,625;1;1;2;82,5;0,0238128986534373;"Terrestre";"Long";19;0,0662020905923345
"Terrestre";"CARCHL";0;0;0;1;3;4,85;13;58;0,233053221288515;"Terrestre";"Court";117;0,407665505226481
"Terrestre";"CARERY";0;0;0;0;0;0;0;107;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"CARINA";0;0;0;2;3,8;5,55;8;58;0,141522029372497;"Terrestre";"Court";86;0,299651567944251
"Terrestre";"CARLIS";0;0;0;1;2;4;9;58;0,173949579831933;"Terrestre";"Court";109;0,379790940766551
"Terrestre";"CARMEA";1;1;1;1;1;1;1;82,5;0,00993605509099852;"Terrestre";"Court";3;0,0104529616724739
"Terrestre";"CARNUS";0;0;0;0;0;0;0;93;0;"Terrestre";"Court";6;0,0209059233449477
"Terrestre";"CERRIS";0;0;0;0;0,8;1;1;59;0,0210526315789474;"Terrestre";"Court";28;0,0975609756097561
"Terrestre";"CERYLA";0;0;0;1;2;3,325;15,5;58;0,256776556776557;"Terrestre";"Court";205;0,714285714285714
"Terrestre";"CETCET";0;0;2;4;9,4;15,6;11;59;0,166666666666667;"Aquatique";"Court";82;0,285714285714286
"Terrestre";"CICLUS";0;0;0;0;0;0;0;83;0;"Aquatique";"Court";3;0,0104529616724739
"Terrestre";"CISJUN";0;0;0;0,25;1;1;1;65;0,0188746438746439;"Aquatique";"Court";13;0,0452961672473868
"Terrestre";"COCTES";0;0;0;0,5;1,45;2;4,5;58;0,0935314685314685;"Terrestre";"Court";64;0,222996515679443
"Terrestre";"CODULA";1;1;1;1;1;1;0,5;103,5;0,00490196078431373;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"COLBUS";0;0;0;0;0,199999999999999;0,800000000000001;1;59;0,0123456790123457;"Terrestre";"Court";31;0,10801393728223
"Terrestre";"COLLIV";0;0;0;0;0;0;0;82;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"CORFRU";0;0;0;0;0;0;0;36;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"CORONE";0;0;0;0;0;0;0;65;0;"Terrestre";"Court";8;0,0278745644599303
"Terrestre";"CUCCAN";0;0;0;0;0;0;0;59;0;"Terrestre";"Long";16;0,0557491289198606
"Terrestre";"DELURB";0;0;0;0;0;0;0;81;0;"Terrestre";"Long";7;0,024390243902439
"Terrestre";"DENMAJ";0;0;0;1;1,85;2,4125;13,5;58;0,271417495800491;"Terrestre";"Court";198;0,689895470383275
"Terrestre";"DENMED";0;0;0;0;0;0,6625;1;58;0,0109228971962617;"Terrestre";"Court";33;0,114982578397213
"Terrestre";"DENMIN";0;0;0;0;0,200000000000001;0,975;1;58;0,0304953560371517;"Terrestre";"Court";60;0,209059233449477
"Terrestre";"DRYMAR";0;0;0;0;0;0,337499999999999;0,5;58;0,00458715596330275;"Terrestre";"Court";23;0,0801393728222996
"Terrestre";"EMBCIA";0;0;0;0;0;0;0;80;0;"Terrestre";"Court";3;0,0104529616724739
"Terrestre";"EMBCIR";0;0;0;1;2,4;5,19999999999999;7;74,5;0,0833333333333333;"Terrestre";"Court";62;0,21602787456446
"Terrestre";"EMBCIT";0;0;1;2;4;6,39999999999999;15;58;0,278205128205128;"Terrestre";"Court";106;0,369337979094077
"Terrestre";"EMBSCH";0;0;0;2;3,7;5,125;6;58;0,120177330457704;"Aquatique";"Court";54;0,18815331010453
"Terrestre";"ERIRUB";0;1;3;7;10,65;13,5375;44,5;58;0,75462962962963;"Terrestre";"Court";277;0,965156794425087
"Terrestre";"FALTIN";0;0;0;0;0;0;0;59;0;"Terrestre";"Court";5;0,0174216027874564
"Terrestre";"FICUCA";0;0;0;0;0,55;0,95;1;58;0,0253205128205128;"Terrestre";"Long";35;0,121951219512195
"Terrestre";"FRICOE";0;0;1;3;4,95;8,82499999999999;34,5;58;0,573214285714286;"Terrestre";"Court";223;0,777003484320557
"Terrestre";"GARGLA";0;0;0;1;1;2;16;58;0,2553480475382;"Terrestre";"Court";202;0,70383275261324
"Terrestre";"HIPICT";0;0;0;0,625;0,95;1,275;1;58;0,0247713797608281;"Terrestre";"Long";22;0,0766550522648084
"Terrestre";"HIPPOL";0;0;1,25;5;10,25;17,9;26;58;0,409062980030722;"Terrestre";"Long";179;0,623693379790941
"Terrestre";"HIRRUP";0;0;0;0;0;0;0;93;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"HIRRUS";0;0;0;0;0,950000000000001;1,4125;3;58;0,0364209130098375;"Terrestre";"Long";59;0,205574912891986
"Terrestre";"IXOMIN";0;0;0;0;0;0;0;57;0;"Aquatique";"Long";2;0,00696864111498258
"Terrestre";"JYNTOR";0;0;0;0;0;1,25;1;59;0,0175438596491228;"Terrestre";"Long";29;0,101045296167247
"Terrestre";"LANRIO";0;0;0;1,25;2,95;5,37499999999999;8,5;58;0,127016129032258;"Terrestre";"Long";64;0,222996515679443
"Terrestre";"LANSEN";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Long";2;0,00696864111498258
"Terrestre";"LOCLUS";0;0;0;0;0;0;0;58;0;"Aquatique";"Long";8;0,0278745644599303
"Terrestre";"LOCNAE";0;0;0;0;1,1;2,2375;2,5;58;0,0680043980208906;"Aquatique";"Long";56;0,195121951219512
"Terrestre";"LOXCUR";0;0;0;0,875;1,25;1,4375;1;82,5;0,0101382488479263;"Terrestre";"Court";4;0,0139372822299652
"Terrestre";"LULARB";0;0;0;0;0;0;0;71;0;"Terrestre";"Court";11;0,0383275261324042
"Terrestre";"LUSMEG";0;0;2;5,75;13,4;21,35;28,5;58;0,507907091672844;"Terrestre";"Long";196;0,682926829268293
"Terrestre";"LUSSVE";0;0;0;1;2,6;5,1125;2;58;0,036590807675145;"Aquatique";"Long";26;0,0905923344947735
"Terrestre";"MERAPI";0;0;0;0;0;0;0;78;0;"Terrestre";"Long";2;0,00696864111498258
"Terrestre";"MILCAL";0;0;0;0;0,9;1,7;1;71;0,0125;"Terrestre";"Court";14;0,0487804878048781
"Terrestre";"MOTALB";0;0;0;0;0,6;1;1;58;0,019327731092437;"Terrestre";"Court";39;0,13588850174216
"Terrestre";"MOTCIN";0;0;0;0;0;0,4;0,5;58;0,00458715596330275;"Terrestre";"Court";22;0,0766550522648084
"Terrestre";"MOTFLA";0;0;0;0;0;0;0;58;0;"Terrestre";"Long";7;0,024390243902439
"Terrestre";"MUSSTR";0;0;0;0;1;2;4,5;58;0,093841642228739;"Terrestre";"Long";84;0,292682926829268
"Terrestre";"OENOEN";0;0;0;0;0;0;0;82;0;"Terrestre";"Long";4;0,0139372822299652
"Terrestre";"ORIORI";0;0;0;0;0,5;0,875;1;58;0,0188746438746439;"Terrestre";"Long";26;0,0905923344947735
"Terrestre";"OTUSCO";0;0;0;0;0;0;0;95;0;"Terrestre";"Long";4;0,0139372822299652
"Terrestre";"PANBIA";0;0;0;0;0;0;0;89;0;"Aquatique";"Court";1;0,00348432055749129
"Terrestre";"PAPALU";0;0;0;1;2;3;12;58;0,258444022770398;"Terrestre";"Court";161;0,560975609756098
"Terrestre";"PARATE";0;0;0;0;0,9;1;1;59;0,021505376344086;"Terrestre";"Court";31;0,10801393728223
"Terrestre";"PARCAE";0;0;1;2,125;4;6;33;58;0,607100119664938;"Terrestre";"Court";270;0,940766550522648
"Terrestre";"PARCRI";0;0;0;0,75;1;2,1;5;58;0,1;"Terrestre";"Court";95;0,331010452961672
"Terrestre";"PARMAJ";0;1;3;5;7;9,8;47;58;0,841613379242499;"Terrestre";"Court";282;0,982578397212544
"Terrestre";"PARNUS";0;0;1;1;2,4;3,65;6;58;0,128711201079622;"Terrestre";"Court";56;0,195121951219512
"Terrestre";"PASDOM";0;0;1;3;8,85;13,95;13,5;58;0,219066102093625;"Terrestre";"Court";98;0,341463414634146
"Terrestre";"PASMON";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";11;0,0383275261324042
"Terrestre";"PETPET";0;0;0;0;0;0;0;59;0;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"PHOOCH";0;0;0;0;0,550000000000001;1,45;3;58;0,0421052631578947;"Terrestre";"Court";74;0,257839721254355
"Terrestre";"PHOPHO";0;0;0;0;1;3,53749999999999;4;58;0,0754985754985755;"Terrestre";"Long";67;0,233449477351916
"Terrestre";"PHYBON";0;0;0;1;2,3;5,7;4;78;0,05;"Terrestre";"Long";31;0,10801393728223
"Terrestre";"PHYCOL";0;1,375;4;8;12,25;18,025;45,5;58;0,807702182284981;"Terrestre";"Court";266;0,926829268292683
"Terrestre";"PHYLUS";0;0;0;3;6,2;10,6;11,5;58;0,310437109723461;"Terrestre";"Long";133;0,463414634146341
"Terrestre";"PHYSIB";0;0;0;0;0;0;0;58;0;"Terrestre";"Long";18;0,0627177700348432
"Terrestre";"PICDIS";0;0;0;0,5;1;1,675;7;58;0,137693631669535;"Terrestre";"Court";122;0,425087108013937
"Terrestre";"PICPIC";0;0;0;0;0,55;0,925;1;58;0,0186050536517826;"Terrestre";"Court";27;0,0940766550522648
"Terrestre";"PRUMOD";0;1;3;6;8,7;12,0125;38,5;58;0,690239867659223;"Terrestre";"Court";235;0,818815331010453
"Terrestre";"PYRULA";0;0;1;3;5,4;7,7;17;58;0,325545171339564;"Terrestre";"Court";139;0,484320557491289
"Terrestre";"RALAQU";0;0;0;0;0;0;0;84;0;"Aquatique";"Court";4;0,0139372822299652
"Terrestre";"REGIGN";0;0;0;0;0,599999999999999;1;1,5;58;0,0348790322580645;"Terrestre";"Court";58;0,202090592334495
"Terrestre";"REGREG";0;0;0;0;0;0,7875;1;58;0,0172465060957478;"Terrestre";"Court";51;0,177700348432056
"Terrestre";"REMPEN";0;0;0;0;0;0;0;38;0;"Aquatique";"Long";2;0,00696864111498258
"Terrestre";"RIPRIP";0;0;0;0,5;0,9;0,975;1;83;0,00934579439252336;"Terrestre";"Long";6;0,0209059233449477
"Terrestre";"SAXRUB";0;0;0;0;0;0;0;65;0;"Terrestre";"Long";12;0,0418118466898955
"Terrestre";"SAXTOR";0;0;0;1;1,8;3,325;6;58;0,0805000899442346;"Terrestre";"Court";65;0,226480836236934
"Terrestre";"SERLLA";7;7;7;7;7;7;1;89;0,0111455108359133;"Terrestre";"Court";1;0,00348432055749129
"Terrestre";"SERSER";0;0;0;0;1;2,3;3;59;0,0490196078431373;"Terrestre";"Court";42;0,146341463414634
"Terrestre";"SITEUR";0;0;0;0;1;1,9625;4,5;58;0,11857825567503;"Terrestre";"Court";118;0,411149825783972
"Terrestre";"STRALU";0;0;0;0;0;0;0;74,5;0;"Terrestre";"Court";13;0,0452961672473868
"Terrestre";"STRCTO";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";4;0,0139372822299652
"Terrestre";"STRTUR";0;0;0;0;0,85;1;2;58;0,0304147465437788;"Terrestre";"Long";41;0,142857142857143
"Terrestre";"STUVUL";0;0;0;0;1;2,0375;3,5;58;0,0882352941176471;"Terrestre";"Court";85;0,29616724738676
"Terrestre";"SYLALA";0;0;0;0;1;1;1;78;0,0121951219512195;"Terrestre";"Court";17;0,0592334494773519
"Terrestre";"SYLATR";0,425;5,75;11,5;19,875;28;43,9125;54,5;58;0,954896383583909;"Terrestre";"Court";280;0,975609756097561
"Terrestre";"SYLBOR";0;0;2;5;8,65;13,15;32,5;58;0,580446037435285;"Terrestre";"Long";210;0,731707317073171
"Terrestre";"SYLCAN";0;0;0;1;1;1;2;65;0,0265845070422535;"Terrestre";"Long";19;0,0662020905923345
"Terrestre";"SYLCOM";0;0;1,5;7;13,15;22,9125;22;58;0,410183428209994;"Terrestre";"Long";172;0,599303135888502
"Terrestre";"SYLCUR";0;0;1;2,25;4,25;6,4125;8;58;0,175682261208577;"Terrestre";"Long";64;0,222996515679443
"Terrestre";"SYLHOR";0,0875;0,875;2,75;3,75;4,2;4,425;2;82,5;0,0271062271062271;"Terrestre";"Long";9;0,0313588850174216
"Terrestre";"SYLSAR";2;2;2;2;2;2;1;78;0,0128205128205128;"Terrestre";"Long";1;0,00348432055749129
"Terrestre";"SYLUND";0;0;0;0,25;0,800000000000001;0,975;1;83;0,018348623853211;"Terrestre";"Court";18;0,0627177700348432
"Terrestre";"TRITOT";0;0;0;0;0;0;0;83;0;"Aquatique";"Court";2;0,00696864111498258
"Terrestre";"TROTRO";0;0;1;3;5;7,3625;31;58;0,545454545454545;"Terrestre";"Court";247;0,860627177700348
"Terrestre";"TURMER";0;3,75;7;11,25;16,85;21,225;53;58;0,930899830220713;"Terrestre";"Court";283;0,986062717770035
"Terrestre";"TURPHI";0;0;1;3;5;8,5125;34,5;58;0,6323032351521;"Terrestre";"Court";252;0,878048780487805
"Terrestre";"TURPIL";0;0;0;0;0;0;0;65;0;"Terrestre";"Court";11;0,0383275261324042
"Terrestre";"TURTOR";0,0249999999999999;0,25;0,5;0,75;0,9;0,975;1;84;0,00943480195816645;"Terrestre";"Long";4;0,0139372822299652
"Terrestre";"TURVIS";0;0;0;0;1;1,975;3;74,5;0,0421793921423276;"Terrestre";"Court";53;0,184668989547038
"Terrestre";"TYTALB";0;0;0;0;0;0;0;57;0;"Terrestre";"Court";2;0,00696864111498258
"Terrestre";"UPUEPO";0;0;0;0;0,6;0,9;1;71;0,0175438596491228;"Terrestre";"Long";10;0,0348432055749129
"STOC-rozo";"ACRAGR";0;0;0;0;0;0;0;12;0;"Aquatique";"Court";1;0,025
