"BIOGEOREF";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Atlantique";"ACCNIS";0;0;0;0;0,199999999999999;0,800000000000001;1;43;0,0185185185185185;"Terrestre";"Long";23;0,134502923976608
"Atlantique";"ACRARU";0;0;0;0;0;0;0;15,5;0;"Aquatique";"Long";1;0,00584795321637427
"Atlantique";"ACRRIS";0;0;1;3,25;6,8;9,15;4;43,5;0,123492063492063;"Aquatique";"Long";35;0,204678362573099
"Atlantique";"ACRSCH";0;0;0;0;2,2;6,575;2,5;37;0,0689746300211417;"Aquatique";"Long";41;0,239766081871345
"Atlantique";"ACRSCI";0;0;1;10,25;20,3;31,175;11,5;37;0,352380952380952;"Aquatique";"Long";87;0,508771929824561
"Atlantique";"ACTHYP";0;0;0;0;0;0;0;15,5;0;"Aquatique";"Long";2;0,0116959064327485
"Atlantique";"AEGCAU";0;0;0;3;4,50000000000001;6,65;14;32;0,428571428571429;"Terrestre";"Court";141;0,824561403508772
"Atlantique";"ALCATT";0;0;0;0;0,950000000000001;1;1,5;37;0,0575268817204301;"Aquatique";"Court";59;0,345029239766082
"Atlantique";"ANTPRA";0;0;0;0;0;0;0;45;0;"Terrestre";"Court";3;0,0175438596491228
"Atlantique";"ANTTRI";0;0;0;1;1,9;2,7;3;37;0,0941306755260244;"Terrestre";"Long";35;0,204678362573099
"Atlantique";"APUAPU";0;0;0;0;0;0;0;46;0;"Terrestre";"Long";3;0,0175438596491228
"Atlantique";"ASIOTU";0;0;0;0;0;0;0;32;0;"Terrestre";"Court";7;0,0409356725146199
"Atlantique";"ATHNOC";0;0;0;0,125;0,35;0,4625;0,5;46;0,0078125;"Terrestre";"Court";5;0,0292397660818713
"Atlantique";"BUTBUT";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";3;0,0175438596491228
"Atlantique";"CAPEUR";0;0;0;0;1;1;2;50;0,03125;"Terrestre";"Long";16;0,0935672514619883
"Atlantique";"CARCHL";0;0;0;1,75;2,7;4,7;7;32;0,232558139534884;"Terrestre";"Court";64;0,374269005847953
"Atlantique";"CARINA";0;0;0;2;4,05;5,9375;8;37;0,208695652173913;"Terrestre";"Court";71;0,415204678362573
"Atlantique";"CARLIS";0;0;0;1;2,4;4;5;32;0,15625;"Terrestre";"Court";63;0,368421052631579
"Atlantique";"CARMEA";1;1;1;1;1;1;1;42;0,0222222222222222;"Terrestre";"Court";2;0,0116959064327485
"Atlantique";"CARNUS";0;0;0;0;0;0;0;43;0;"Terrestre";"Court";2;0,0116959064327485
"Atlantique";"CERRIS";1;1;1;1;1;1;1;47,5;0,0211111111111111;"Terrestre";"Court";1;0,00584795321637427
"Atlantique";"CERYLA";0;0;0;1;1,7;2,7;7;32;0,231884057971014;"Terrestre";"Court";122;0,713450292397661
"Atlantique";"CETCET";0;0,125;2;4;6,85;10,6125;9;37;0,283482142857143;"Aquatique";"Court";68;0,39766081871345
"Atlantique";"CISJUN";0;0;0;0,5;1;1;1;42;0,0357142857142857;"Aquatique";"Court";11;0,064327485380117
"Atlantique";"COCTES";0;0;0;0;0;0;0;37;0;"Terrestre";"Court";14;0,0818713450292398
"Atlantique";"CODULA";1;1;1;1;1;1;0,5;62;0,00833333333333333;"Terrestre";"Court";1;0,00584795321637427
"Atlantique";"COLBUS";0;0;0;0;0,199999999999999;0,800000000000001;1;32;0,02;"Terrestre";"Court";23;0,134502923976608
"Atlantique";"COLLIV";0;0;0;0;0;0;0;44;0;"Terrestre";"Court";1;0,00584795321637427
"Atlantique";"CORONE";0;0;0;0;0;0;0;50;0;"Terrestre";"Court";5;0,0292397660818713
"Atlantique";"CUCCAN";0;0;0;0;0;0;0;32;0;"Terrestre";"Long";13;0,0760233918128655
"Atlantique";"DELURB";0;0;0;0;0;0;0;50;0;"Terrestre";"Long";5;0,0292397660818713
"Atlantique";"DENMAJ";0;0;0;0,5;1;1,65;4;32;0,17741935483871;"Terrestre";"Court";110;0,64327485380117
"Atlantique";"DENMED";0;0;0;0;0;0;0;52;0;"Terrestre";"Court";11;0,064327485380117
"Atlantique";"DENMIN";0;0;0;0;0;0;0;42;0;"Terrestre";"Court";29;0,169590643274854
"Atlantique";"DRYMAR";0;0;0;0;0;0;0;45;0;"Terrestre";"Court";8;0,0467836257309941
"Atlantique";"EMBCIA";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";2;0,0116959064327485
"Atlantique";"EMBCIR";0;0;0;1;1,9;2,95;4;45;0,0888888888888889;"Terrestre";"Court";31;0,181286549707602
"Atlantique";"EMBCIT";0;0;1;2,5;4,5;6,2;6;32;0,232558139534884;"Terrestre";"Court";57;0,333333333333333
"Atlantique";"EMBSCH";0;0;0;1,375;2,8;3,6625;3;37;0,112373737373737;"Aquatique";"Court";36;0,210526315789474
"Atlantique";"ERIRUB";0;1,25;3;7;9,8;13;24;32;0,740740740740741;"Terrestre";"Court";166;0,970760233918129
"Atlantique";"FALTIN";0;0;0;0;0;0;0;37;0;"Terrestre";"Court";4;0,0233918128654971
"Atlantique";"FICUCA";0;0;0;0;0,15;0,4125;0,5;46;0,0078125;"Terrestre";"Long";13;0,0760233918128655
"Atlantique";"FRICOE";0;0;1;3;5,1;7,7;17;32;0,511627906976744;"Terrestre";"Court";134;0,783625730994152
"Atlantique";"GARGLA";0;0;0;0,75;1;1,9;6;32;0,2;"Terrestre";"Court";115;0,672514619883041
