"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"ACCNIS";0;0;0;0;0;0,674999999999999;1;57,5;0,0121252204585538;"Terrestre";"Long";35;0,12280701754386
"Terrestre";"ACRARU";0;0;0;0,625;1,4;1,85;1;57,5;0,0119764773379231;"Aquatique";"Long";9;0,0315789473684211
"Terrestre";"ACRMEL";0;0;0;0;0;0;0;76;0;"Aquatique";"Court";1;0,00350877192982456
"Terrestre";"ACRRIS";0;0;1;3,25;9,6;14,225;5;57,5;0,126602564102564;"Aquatique";"Long";57;0,2
"Terrestre";"ACRSCH";0;0;0;0,625;3,25;7,7625;3;57,5;0,0653044871794872;"Aquatique";"Long";50;0,175438596491228
"Terrestre";"ACRSCI";0;0;1;6,625;24,55;40,625;20,5;57,5;0,331140350877193;"Aquatique";"Long";136;0,47719298245614
"Terrestre";"ACTHYP";0;0;0;0;0;0;0;28,5;0;"Aquatique";"Long";2;0,00701754385964912
"Terrestre";"AEGCAU";0;0;0;2;4;7;24;57,5;0,363636363636364;"Terrestre";"Court";223;0,782456140350877
"Terrestre";"ALCATT";0;0;0;0;1;1,9;5;57,5;0,0833333333333333;"Aquatique";"Court";94;0,329824561403509
"Terrestre";"ALEUFA";0;0;0;0;0;0;0;102;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"ANTPRA";0;0;0;0;0;0;0;83,5;0;"Terrestre";"Court";5;0,0175438596491228
"Terrestre";"ANTRIS";0;0;0;0;0;0;0;84,5;0;"Terrestre";"Court";2;0,00701754385964912
"Terrestre";"ANTTRI";0;0;0;1;2,4;4,6;5;57,5;0,0876232201533406;"Terrestre";"Long";64;0,224561403508772
"Terrestre";"APUAPU";0;0;0;0;0;0;0;78,5;0;"Terrestre";"Long";4;0,0140350877192982
"Terrestre";"ASIOTU";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";10;0,0350877192982456
