"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1989;"AD";"AEGCAU";"Court";0,222222222222222;0,222222222222222;0,222222222222222;0,222222222222222;0,222222222222222;"Terrestre"
1990;"AD";"AEGCAU";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325;"Terrestre"
1991;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Terrestre"
1992;"AD";"AEGCAU";"Court";0,0125;0,125;0,25;0,375;0,4875;"Terrestre"
1993;"AD";"AEGCAU";"Court";0,00735294117647056;0,0735294117647059;0,147058823529412;0,220588235294118;0,286764705882353;"Terrestre"
1994;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1995;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1997;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1998;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2000;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2002;"AD";"AEGCAU";"Court";0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;"Terrestre"
2003;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2004;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2005;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2006;"AD";"AEGCAU";"Court";0;0;0;0;0,1125;"Terrestre"
2007;"AD";"AEGCAU";"Court";0;0;0;0;0,2625;"Terrestre"
2008;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2009;"AD";"AEGCAU";"Court";0;0;0,125;0,3125;0,48125;"Terrestre"
2010;"AD";"AEGCAU";"Court";0;0;0,0833333333333333;0,175;0,1975;"Terrestre"
2011;"AD";"AEGCAU";"Court";0;0;0,125;0,270833333333333;0,327083333333333;"Terrestre"
2012;"AD";"AEGCAU";"Court";0;0;0,111111111111111;0,142857142857143;0,152747252747253;"Terrestre"
2013;"AD";"AEGCAU";"Court";0;0;0,0769230769230769;0,208333333333333;0,320833333333333;"Terrestre"
2014;"AD";"AEGCAU";"Court";0;0;0;0;0,0800000000000001;"Terrestre"
2015;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2016;"AD";"AEGCAU";"Court";0;0;0;0,3;0,4875;"Terrestre"
2017;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2018;"AD";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2019;"AD";"AEGCAU";"Court";0;0;0;0,0833333333333333;0,158333333333333;"Terrestre"
2020;"AD";"AEGCAU";"Court";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
2021;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Terrestre"
1989;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1991;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1992;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1993;"JUV";"AEGCAU";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325;"Terrestre"
1994;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1995;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1997;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1998;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2000;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2002;"JUV";"AEGCAU";"Court";0,00416666666666665;0,0416666666666667;0,0833333333333333;0,125;0,1625;"Terrestre"
2003;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2004;"JUV";"AEGCAU";"Court";0,125;0,125;0,125;0,125;0,125;"Terrestre"
2005;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2006;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2007;"JUV";"AEGCAU";"Court";0;0,0147058823529412;0,0781922525107604;0,160753880266075;0,241477272727273;"Terrestre"
