"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
1990;"AD";"AEGCAU";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;"Atlantique"
1991;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1992;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Atlantique"
1993;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1994;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1995;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2000;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2002;"AD";"AEGCAU";"Court";0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;"Atlantique"
2003;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2004;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2005;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2006;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2007;"AD";"AEGCAU";"Court";0;0;0;0,075;0,2775;"Atlantique"
2008;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2009;"AD";"AEGCAU";"Court";0;0;0,125;0,3125;0,48125;"Atlantique"
2010;"AD";"AEGCAU";"Court";0;0;0,0833333333333333;0,175;0,1975;"Atlantique"
2011;"AD";"AEGCAU";"Court";0;0;0,125;0,270833333333333;0,327083333333333;"Atlantique"
2012;"AD";"AEGCAU";"Court";0,00833333333333333;0,0833333333333333;0,126984126984127;0,145604395604396;0,153021978021978;"Atlantique"
2013;"AD";"AEGCAU";"Court";0;0;0,0384615384615385;0,206730769230769;0,322916666666667;"Atlantique"
2014;"AD";"AEGCAU";"Court";0;0;0;0;0,0825;"Atlantique"
2015;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2016;"AD";"AEGCAU";"Court";0;0;0;0,3;0,4875;"Atlantique"
2017;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2018;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2019;"AD";"AEGCAU";"Court";0;0;0;0,0833333333333333;0,158333333333333;"Atlantique"
2020;"AD";"AEGCAU";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2021;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Atlantique"
1990;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1991;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1992;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1993;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1994;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1998;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2000;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2002;"JUV";"AEGCAU";"Court";0,00416666666666665;0,0416666666666667;0,0833333333333333;0,125;0,1625;"Atlantique"
2003;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2004;"JUV";"AEGCAU";"Court";0,125;0,125;0,125;0,125;0,125;"Atlantique"
2005;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2006;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2007;"JUV";"AEGCAU";"Court";0,0073170731707317;0,0731707317073171;0,139689578713969;0,198863636363636;0,244886363636364;"Atlantique"
2008;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2009;"JUV";"AEGCAU";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2010;"JUV";"AEGCAU";"Court";0;0;0;0,05;0,185;"Atlantique"
2011;"JUV";"AEGCAU";"Court";0;0;0,0434782608695652;0,115217391304348;0,191521739130435;"Atlantique"
2012;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2013;"JUV";"AEGCAU";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"Atlantique"
2014;"JUV";"AEGCAU";"Court";0;0;0;0,0178571428571429;0,08125;"Atlantique"
2015;"JUV";"AEGCAU";"Court";0;0;0,05;0,0912698412698413;0,111111111111111;"Atlantique"
2016;"JUV";"AEGCAU";"Court";0;0;0;0,125;0,370833333333333;"Atlantique"
2017;"JUV";"AEGCAU";"Court";0;0;0;0;0,0546875;"Atlantique"
2018;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2019;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2020;"JUV";"AEGCAU";"Court";0;0;0;0,0416666666666667;0,154166666666667;"Atlantique"
2021;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1990;"AD";"ERIRUB";"Court";0;0;0;0,25;0,925;"Atlantique"
1991;"AD";"ERIRUB";"Court";0;0;0,0555555555555556;0,119047619047619;0,14047619047619;"Atlantique"
1992;"AD";"ERIRUB";"Court";0;0;0;0,1;0,19;"Atlantique"
1993;"AD";"ERIRUB";"Court";0,00714285714285715;0,0714285714285714;0,142857142857143;0,154761904761905;0,16547619047619;"Atlantique"
1994;"AD";"ERIRUB";"Court";0,264912280701754;0,280701754385965;0,298245614035088;0,315789473684211;0,331578947368421;"Atlantique"
1995;"AD";"ERIRUB";"Court";0,0090909090909091;0,0909090909090909;0,181818181818182;0,206293706293706;0,228321678321678;"Atlantique"
1996;"AD";"ERIRUB";"Court";0,00277777777777777;0,0277777777777778;0,0555555555555556;0,0833333333333333;0,108333333333333;"Atlantique"
1997;"AD";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1999;"AD";"ERIRUB";"Court";0,00499999999999998;0,05;0,1;0,15;0,195;"Atlantique"
2000;"AD";"ERIRUB";"Court";0;0;0,0416666666666667;0,0852272727272727;0,0903409090909091;"Atlantique"
2001;"AD";"ERIRUB";"Court";0,00666666666666667;0,0666666666666667;0,222222222222222;0,235294117647059;0,383529411764706;"Atlantique"
2002;"AD";"ERIRUB";"Court";0;0;0,2;0,266666666666667;0,40952380952381;"Atlantique"
2003;"AD";"ERIRUB";"Court";0;0;0,126984126984127;0,2;0,26;"Atlantique"
2004;"AD";"ERIRUB";"Court";0;0;0;0,0868055555555556;0,2375;"Atlantique"
2005;"AD";"ERIRUB";"Court";0;0;0;0;0,222916666666667;"Atlantique"
2006;"AD";"ERIRUB";"Court";0;0;0;0;0,44375;"Atlantique"
2007;"AD";"ERIRUB";"Court";0;0;0;0,151442307692308;0,402777777777778;"Atlantique"
2008;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,256190476190476;"Atlantique"
2009;"AD";"ERIRUB";"Court";0;0;0;0;0,201388888888889;"Atlantique"
2010;"AD";"ERIRUB";"Court";0;0;0;0,153846153846154;0,442307692307692;"Atlantique"
2011;"AD";"ERIRUB";"Court";0;0;0;0;0,271929824561404;"Atlantique"
2012;"AD";"ERIRUB";"Court";0;0;0;0,166666666666667;0,471428571428572;"Atlantique"
2013;"AD";"ERIRUB";"Court";0;0;0,0357142857142857;0,186363636363636;0,440625;"Atlantique"
2014;"AD";"ERIRUB";"Court";0;0;0;0,222222222222222;0,366666666666667;"Atlantique"
2015;"AD";"ERIRUB";"Court";0;0;0;0,205555555555556;0,5425;"Atlantique"
2016;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,457142857142857;"Atlantique"
2017;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,364285714285714;"Atlantique"
2018;"AD";"ERIRUB";"Court";0;0;0,0714285714285714;0,25;0,55;"Atlantique"
2019;"AD";"ERIRUB";"Court";0;0;0,0884615384615385;0,2;0,304166666666667;"Atlantique"
2020;"AD";"ERIRUB";"Court";0;0;0;0,0931818181818182;0,250892857142857;"Atlantique"
2021;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,352380952380953;"Atlantique"
1990;"JUV";"ERIRUB";"Court";0,00182926829268293;0,0182926829268293;0,0455284552845528;0,175;0,4675;"Atlantique"
1991;"JUV";"ERIRUB";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"Atlantique"
1992;"JUV";"ERIRUB";"Court";0;0;0;0,03125;0,059375;"Atlantique"
1993;"JUV";"ERIRUB";"Court";0;0;0;0,0571428571428571;0,108571428571429;"Atlantique"
1994;"JUV";"ERIRUB";"Court";0,06734375;0,0734375;0,0802083333333333;0,0869791666666667;0,0930729166666667;"Atlantique"
1995;"JUV";"ERIRUB";"Court";0,00555555555555556;0,0555555555555556;0,111111111111111;0,113247863247863;0,11517094017094;"Atlantique"
1996;"JUV";"ERIRUB";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325;"Atlantique"
1997;"JUV";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1998;"JUV";"ERIRUB";"Court";0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;"Atlantique"
