"ID_PROG","FIRST.YEAR","LAST.YEAR","NEW.ID_PROG","COMMENTS","nbYear"
"100",2006,2022,"100b","",17
"101",2003,2010,"101a","",8
"101",2011,2022,"101b","",12
"139",2009,2022,"139c","",14
"13",1990,1993,"13a","",4
"171",2007,2007,"140","",1
"159",1989,2010,"159a","",22
"159",2011,2022,"159b","",12
"160",2003,2022,"160a","",20
"160",2007,2022,"160b","",16
"17",1996,2008,"17b","",13
"17",2009,2022,"17c","",14
"209",2007,2022,"209b","",16
"225",2011,2022,"225b","",12
"22",1989,1999,"22a","",11
"22",2000,2022,"22b","",23
"244",1989,2009,"244a","",21
"244",2010,2022,"244b","",13
"246",1989,2010,"246a","",22
"246",2011,2022,"246b","",12
"27",2005,2022,"27b","",18
"2",1999,2004,"2b","",6
"39",1995,2022,"39","necessite peut etre un split",28
"44",1997,2002,"44a","",6
"44",2004,2007,"44b","",4
"44",2010,2022,"44c","",13
"63",2001,2008,"63a","",8
"63",2011,2022,"63c","",12
"7",2000,2013,"7","",14
"8",1990,1996,"8","",7
"9",1989,1995,"9","",7
"12",1990,2022,"12","",33
"14",1989,2012,"14","",24
"15",1989,2009,"15","",21
"18",1990,2022,"18","",33
"20",1990,1992,"20","",3
"21",1990,1999,"21","",10
"25",1991,2022,"25","",32
"28",1992,1992,"28","",1
"32",1991,2011,"32","",21
"34",2004,2022,"34","",19
"36",1997,2000,"36","",4
"37",1996,2014,"37","",19
"40",2002,2005,"40","",4
"42",1997,2022,"42","",26
"43",1997,2022,"43","",26
"46",1998,2007,"46","",10
"47",2001,2022,"47","",22
"49",2000,2003,"49","",4
"50",2000,2019,"50","",20
"51",2003,2022,"51","",20
"52",2001,2010,"52","",10
"53",2001,2022,"53","",22
"54",2002,2010,"54","",9
"56",2001,2009,"56","",9
"57",2000,2004,"57","",5
"58",2000,2002,"58","",3
"59",2008,2011,"59","",4
"60",2001,2009,"60","",9
"62",2002,2002,"62","",1
"64",2001,2020,"64","",20
"65",2001,2006,"65","",6
"66",2002,2016,"66","",15
"67",2001,2007,"67","",7
"68",2002,2006,"68","",5
"69",2001,2011,"69","",11
"71",2001,2022,"71","",22
"72",2001,2004,"72","",4
"73",2003,2003,"73","",1
"75",2002,2003,"75","",2
"76",2001,2010,"76","",10
"77",2001,2002,"77","",2
"78",2001,2010,"78","",10
"79",2002,2008,"79","",7
"80",2001,2002,"80","",2
"82",2002,2005,"82","",4
"83",2002,2022,"83","",21
"84",2001,2012,"84","",12
"85",2002,2021,"85","",20
"87",2002,2018,"87","",17
"88",2002,2007,"88","",6
"89",2002,2004,"89","",3
"90",2002,2022,"90","",21
"91",2003,2005,"91","",3
"92",2002,2006,"92","",5
"93",2002,2002,"93","",1
"94",2004,2007,"94","",4
"95",2002,2005,"95","",4
"96",2002,2008,"96","",7
"97",2011,2022,"97","",12
"98",2002,2006,"98","",5
"99",2002,2004,"99","",3
"102",2002,2004,"102","",3
"104",2004,2012,"104","",9
"105",2004,2012,"105","",9
"106",2003,2013,"106","",11
"107",2003,2010,"107","",8
"108",2003,2022,"108","",20
"109",2003,2013,"109","",11
"110",2005,2008,"110","",4
"111",2004,2007,"111","",4
"112",2004,2007,"112","",4
"114",2003,2015,"114","",13
"115",2003,2006,"115","",4
"116",2003,2007,"116","",5
"117",2004,2011,"117","",8
"118",2003,2017,"118","",15
"119",2007,2008,"119","",2
"120",2005,2008,"120","",4
"121",2004,2008,"121","",5
"122",2005,2022,"122","",18
"125",2004,2018,"125","",15
"126",2004,2008,"126","",5
"127",2004,2013,"127","",10
"128",2004,2005,"128","",2
"130",2004,2010,"130","",7
"131",2004,2022,"131","",19
"132",2005,2008,"132","",4
"134",2004,2005,"134","",2
"135",2005,2008,"135","",4
"136",2004,2016,"136","",13
"137",2004,2006,"137","",3
"140",2005,2020,"140","",16
"142",2005,2011,"142","",7
"143",2005,2008,"143","",4
"144",2005,2006,"144","",2
"145",2006,2009,"145","",4
"146",2007,2007,"146","",1
"147",2007,2009,"147","",3
"148",2005,2022,"148","",18
"149",2005,2014,"149","",10
"150",2005,2009,"150","",5
"151",2008,2012,"151","",5
"154",2007,2010,"154","",4
"158",2006,2010,"158","",5
"162",2009,2009,"162","",1
"163",2007,2020,"163","",14
"166",2006,2009,"166","",4
"168",2006,2006,"168","",1
"172",2006,2020,"172","",15
"173",2006,2019,"173","",14
"174",2006,2010,"174","",5
"177",2008,2008,"177","",1
"179",2006,2020,"179","",15
"181",2006,2008,"181","",3
"185",2008,2012,"185","",5
"187",2006,2008,"187","",3
"188",2008,2015,"188","",8
"189",2007,2011,"189","",5
"190",2005,2010,"190","",6
"191",2007,2013,"191","",7
"192",2007,2013,"192","",7
"193",2008,2021,"193","",14
"194",2008,2013,"194","",6
"195",2007,2016,"195","",10
"198",2007,2019,"198","",13
"199",2007,2018,"199","",12
"200",2007,2011,"200","",5
