"NEW.ID_PROG";"BIOGEOREF";"REGBIOGEO";"HABITAT";"BIOGEO_HAB";"ALT";"LON";"LAT"
"1003";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";56;-1,638968;47,253801
"1004";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";87;2,728611;50,777778
"1009";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";83;0,33576;47,929805
"100b";"National";"Continental";"Terrestre";"National_Terrestre";360;3,42557099999661;47,2157520000093
"1011";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";23;2,827014;50,412631
"1013";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";5;-2,019053;47,317358
"1014";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";2;-0,955556;45,776389
"101a";"National";"Mediterraneen";"Terrestre";"National_Terrestre";350;2,83248699999935;43,880398000017
"101b";"National";"Mediterraneen";"Terrestre";"National_Terrestre";350;2,83248699999935;43,880398000017
"102";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";12;-0,978278999998866;45,7694399999879
"104";"National";"Continental";"Terrestre";"National_Terrestre";254;1,24659800000076;46,2878490000033
"1042";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";109;0,605511;44,125194
"1043";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";93;1,187474;46,779942
"1044";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";123;0,033333;46,2375
"1045";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";100;0,788685;47,021735
"105";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";7;-1,61731400000168;46,4678269999613
"1054";"National";"Continental";"Terrestre";"National_Terrestre";226;5,746944;47,018611
"1055";"National";"Continental";"Terrestre";"National_Terrestre";550;4,266726;45,451104
"1056";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";368;-0,159166;48,465367
"106";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";7;1,58530999999677;50,438709000006
"1069";"National";"Mediterraneen";"Terrestre";"National_Terrestre";844;5,590294;44,291551
"107";"National";"Continental";"Terrestre";"National_Terrestre";930;3,91251000000128;45,4571759999627
"108";"National";"Continental";"Terrestre";"National_Terrestre";401;6,52297199999571;48,0588889999664
"1086";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";113;0,766667;44,465556
"109";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";74;-2,50567000000766;47,8241040000178
"110";"National";"Continental";"Terrestre";"National_Terrestre";111;8,14984400006068;48,9167630000358
"1100";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";91;1,844444;47,883889
"1102";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";31;-5,068327;48,465918
"1104";"National";"Altitude_sup_1200m";"Terrestre";"National_Terrestre";1578;1,951667;42,640278
"1108";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";2;-1,033333;44,644167
"1109";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";0;-1,167882;44,774492
"111";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";5;1,59035299999992;50,2811199999755
"1110";"National";"Continental";"Terrestre";"National_Terrestre";549;5,776111;46,011389
"1111";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";139;1,111667;46,513889
"1112";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";72;2,497349;48,69429
"1113";"National";"Altitude_sup_1200m";"Terrestre";"National_Terrestre";1579;5,5915;45,1769
"1114";"National";"Mediterraneen";"Terrestre";"National_Terrestre";56;4,716778;44,26925
"1115";"National";"Mediterraneen";"Terrestre";"National_Terrestre";54;4,731222;44,281194
"1118";"National";"Mediterraneen";"STOC-rozo";"National_STOC-rozo";-3;9,513333;42,562028
"112";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";21;-0,611953000007303;44,8829570000194
"114";"National";"Continental";"Aquatique";"National_Aquatique";252;5,96999099999581;45,3833850000114
"115";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";74;-0,566945999998515;44,5130650000148
"1154";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";122;2,444853;48,375566
"116";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";113;0,423962000002117;46,622638999982
"1160";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";0;-2,29059;47,386797
"117";"National";"Continental";"Terrestre";"National_Terrestre";886;5,78224800000243;44,9160230000383
"118";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";185;1,68405000000482;43,3917050000366
"119";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";79;0,234009999997784;49,5026130000147
"12";"National";"Continental";"Terrestre";"National_Terrestre";243;7,56666700002012;47,5999999999609
"120";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";59;-1,33555999999568;43,4618799999854
"121";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";64;-0,178135000006677;44,743462000025
"122";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";10;-0,625458000004218;45,247451999983
"125";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";87;0,0333329999980704;47,1833339999899
"126";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";272;-0,278092000001146;48,3776129999649
"1265";"National";"Continental";"Terrestre";"National_Terrestre";232;7,514986;47,685699
"1266";"National";"Continental";"Terrestre";"National_Terrestre";232;7,514986;47,685699
"127";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";33;2,36204999999394;48,8443870000375
"128";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";74;1,91618900000173;48,8492279999985
"130";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";120;1,4787560000044;49,7897189999914
"131";"National";"Continental";"Terrestre";"National_Terrestre";415;5,70448400000519;45,0368920000435
"132";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";42;2,79190000000696;50,4584269999712
"134";"National";"Continental";"Terrestre";"National_Terrestre";162;4,03847999999754;48,4361460000286
"135";"National";"Continental";"Terrestre";"National_Terrestre";116;8,04994100003043;48,7997629999788
"136";"National";"Continental";"Terrestre";"National_Terrestre";453;5,55972199999996;45,4227780000179
"137";"National";"Mediterraneen";"Terrestre";"National_Terrestre";467;5,51278699999672;43,8615150000229
"139c";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";15;-1,76937400000619;43,3700790000298
"13a";"National";"Continental";"Terrestre";"National_Terrestre";232;7,514986;47,685699
"14";"National";"Continental";"Terrestre";"National_Terrestre";244;6,53337600000383;48,9725529999722
"140";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";67;2,16190100000256;48,6980319999524
"142";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";39;2,13488100000231;49,9661249999854
"143";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";7;1,57055000000062;50,4071199999908
"144";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";109;0,149999999999124;46,5499989999873
"145";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";120;0,543623999998961;49,4180150000162
"146";"National";"Mediterraneen";"Terrestre";"National_Terrestre";534;9,40000000002469;42,9500010000358
"147";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";89;2,72861100000286;48,4205559999636
"148";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";75;2,5678209999975;48,4379349999882
"149";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";71;2,57472200000384;48,3952779999879
"15";"National";"Continental";"Terrestre";"National_Terrestre";215;4,33997499999542;49,7726400000181
"150";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";119;2,56962200000435;48,3542370000309
"151";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";8;1,71185900000362;50,2145200000226
"154";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";178;1,8126870000014;48,707928000011
"158";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";39;2,73333300000594;48,9166680000131
"159a";"National";"Continental";"Terrestre";"National_Terrestre";175;4,92504600000505;45,786575000036
"159b";"National";"Continental";"Terrestre";"National_Terrestre";175;4,92504600000505;45,786575000036
"160a";"National";"Continental";"Terrestre";"National_Terrestre";266;5,019778;45,125472
"160b";"National";"Continental";"Terrestre";"National_Terrestre";266;5,01977800000247;45,1254719999598
"162";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";248;1,4068420000021;43,1739039999688
"163";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";95;-3,06459399999595;47,982498000017
"166";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";19;-1,40765900000152;49,6951980000285
"168";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";10;-4,29945299999054;48,6277809999681
"172";"National";"Mediterraneen";"Terrestre";"National_Terrestre";332;2,46083299999606;43,3638890000021
"173";"National";"Mediterraneen";"Terrestre";"National_Terrestre";498;6,011028;43,607833
"174";"National";"Continental";"Terrestre";"National_Terrestre";899;6,51450799999522;45,8198809999919
"177";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";27;-1,500712;49,202252
"179";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";47;-1,4000000000007;47,2999990000392
"17b";"National";"Mediterraneen";"Terrestre";"National_Terrestre";977;6,33271200000296;44,541004000038
"17c";"National";"Mediterraneen";"Terrestre";"National_Terrestre";977;6,33271200000296;44,541004000038
"18";"National";"Continental";"Terrestre";"National_Terrestre";347;4,17261799999663;45,6686740000363
"181";"National";"Mediterraneen";"Terrestre";"National_Terrestre";75;5,09517299999699;43,6392140000469
"185";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";33;-1,93324500000426;47,6990090000037
"187";"National";"Continental";"Terrestre";"National_Terrestre";145;4,64174999999976;48,3390539999859
"188";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";173;0,186387000006115;44,0900759999706
"189";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";125;-1,06651900000337;48,1661150000158
"190";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";107;-1,28972799999977;48,1580089999673
"191";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";41;2,40580699999449;48,927527999962
"192";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";64;2,541712999996;48,9590299999748
"193";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";4;2,03856099999412;50,9777220000186
"194";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";9;1,578378;50,442814
"195";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";20;1,61194899999697;50,5691180000173
"198";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";3;2,29327099999835;51,0137249999616
"199";"National";"Atlantique_central";"Aquatique";"National_Aquatique";9;1,69475699999895;50,3162229999863
"20";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";8;1,615833;50,538306
"200";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";80;2,59572399999737;48,2840349999866
"201";"National";"Continental";"Terrestre";"National_Terrestre";371;3,429444;47,071111
"202";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";18;-0,65875800000289;45,1277500000209
"203";"National";"Continental";"Terrestre";"National_Terrestre";365;4,46420800000541;47,5928540000252
"204";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";85;2,45136099999773;48,6738619999723
"205";"National";"Continental";"STOC-rozo";"National_STOC-rozo";121;4,65083300000254;48,484444000043
"208";"National";"Mediterraneen";"Terrestre";"National_Terrestre";117;4,87195200000401;45,0053899999937
"209b";"National";"Continental";"STOC-rozo";"National_STOC-rozo";522;5,90157999999668;46,1393740000462
"21";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";176;1,917635;48,669256
"210";"National";"Mediterraneen";"Terrestre";"National_Terrestre";464;5,42235;43,94326
"211";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";116;0,501449;46,66632
"212";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";33;2,82520300000537;50,4089279999739
"213";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";61;-0,13859599999904;48,986015000021
"214";"National";"Atlantique_central";"Aquatique";"National_Aquatique";13;-0,360908000008304;49,1849140000445
"216";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";215;-3,79363099999987;48,4801900000454
"217";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";27;1,61284900000691;50,5907209999675
"219";"National";"Altitude_sup_1200m";"Terrestre";"National_Terrestre";1249;6,080431;44,614367
"220";"National";"Mediterraneen";"Terrestre";"National_Terrestre";956;3,27349900000267;44,2277910000206
"221";"National";"Atlantique_central";"Aquatique";"National_Aquatique";5;1,59035299999992;50,2811199999755
"222";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";55;-4,23374200000568;48,1579860000367
"223";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";55;-4,23374200000568;48,1579860000367
"224";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";123;-4,062658;48,079746
"225b";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";67;1,39685799999702;49,4702219999962
"226";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";72;-1,9620470000042;47,7656099999755
"227";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";99;2,29690500000131;48,7781330000196
"228";"National";"Continental";"Terrestre";"National_Terrestre";340;5,35722200000143;48,597500000037
"229";"National";"Continental";"Terrestre";"National_Terrestre";378;5,40888899999481;48,5583339999871
"22a";"National";"Continental";"Terrestre";"National_Terrestre";339;6,184238;47,631086
"22b";"National";"Continental";"Terrestre";"National_Terrestre";224;6,183277000002;47,6225620000259
"230";"National";"Continental";"Terrestre";"National_Terrestre";330;5,29555599999414;48,5530549999727
"231";"National";"Continental";"Terrestre";"National_Terrestre";361;5,414166;48,50528
"232";"National";"Continental";"Terrestre";"National_Terrestre";380;5,37055499999476;48,4741670000321
"235";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";14;-1,15289099999699;46,1618349999797
"236";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";33;-1,93324500000426;47,6990090000037
"238";"National";"Continental";"Terrestre";"National_Terrestre";189;4,9520369999984;46,7207640000098
"239";"National";"Continental";"Terrestre";"National_Terrestre";101;3,71807299999701;47,9717450000069
"240";"National";"Continental";"Terrestre";"National_Terrestre";583;7,33081499997851;48,4037629999567
"241";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";26;2,971725;50,574259
"242";"National";"Continental";"Terrestre";"National_Terrestre";282;6,35698499999867;47,4794649999579
"243";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";54;-1,569665;48,745648
"244a";"National";"Altitude_sup_1200m";"Terrestre";"National_Terrestre";1301;5,764612;45,884942
"244b";"National";"Continental";"Terrestre";"National_Terrestre";262;5,78187799999998;45,8504789999751
"245";"National";"Continental";"Terrestre";"National_Terrestre";253;7,26843;47,753878
"246a";"National";"Mediterraneen";"Terrestre";"National_Terrestre";134;5,22802500000488;43,8568919999764
"246b";"National";"Mediterraneen";"Terrestre";"National_Terrestre";95;5,11090299999269;43,8593359999632
"248";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";3;2,49127799999596;51,0632249999787
"249";"National";"Continental";"Terrestre";"National_Terrestre";114;4,70720499999814;48,6242449999877
"25";"National";"Mediterraneen";"Terrestre";"National_Terrestre";4;4,6333330000006;43,6684380000277
"250";"National";"Continental";"Terrestre";"National_Terrestre";180;6,04915699999285;48,9014509999661
"251";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";32;-1,93323800000275;47,2436139999874
"256";"National";"Continental";"Terrestre";"National_Terrestre";143;7,79072999998095;48,8213579999689
"260";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";1014;0,0198970000070093;42,7860069999628
"261";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";9;-3,04570700000083;48,7789919999809
"262";"National";"Continental";"Terrestre";"National_Terrestre";315;1,12599899999792;45,8495519999525
"263";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";3;2,29327099999835;51,0137249999616
"264";"National";"Mediterraneen";"Terrestre";"National_Terrestre";177;4,92722199999297;44,9730559999703
"265";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";4;1,95305700000413;50,9480250000182
"267";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";1037;-0,110609000005777;42,8868030000304
"270";"National";"Continental";"Terrestre";"National_Terrestre";375;5,31027799999933;48,5102780000062
"271";"National";"Continental";"Terrestre";"National_Terrestre";349;6,14000000000202;48,3694439999994
"275";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";4;-1,02944399999639;44,6416669999866
"276";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";63;-0,858549999999817;44,013573000037
"277";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";63;-0,858549999999817;44,013573000037
"27b";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";9;-2,30495499999279;47,3984109999822
"28";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";95;2,679;48,615
"283";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";65;2,74422900000665;48,3335340000174
"284";"National";"Mediterraneen";"Terrestre";"National_Terrestre";473;3,02161099999598;43,6779999999946
"286";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";164;0,539192000002147;44,7407680000137
"287";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";28;2,84950200000031;50,495326999999
"288";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";119;-2,97369000000059;47,9572980000202
